College,Major,Program,Course Prefix,Course Name,Color
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 542,Electric and Advanced Propulsion,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 421,Spacecraft Attitude Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATE 210,Materials Engineering,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 470,Selected Advanced Topics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATH 241,Calculus IV,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS 134/PHYS 141,General Physics IA (Area B Electives) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 515,Continuum Mechanics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 533,Finite Elements for Aerospace Structural Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,MATH 244,Linear Analysis I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,CHEM 124,General Chemistry for Physical Science and Engineering I (B1 & B3) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 565,Advanced Topics in Aircraft Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 401,Propulsion Systems,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 407,Reentry Aerodynamics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 532,Advanced Aerospace Composite Design,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 522,Boundary-Layer Theory,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 432,Advanced Composite Structures Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 300,Aerospace Engineering Analysis,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 420,Aircraft Dynamics and Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 331,Aerospace Structural Analysis I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 526,Spacecraft Thermal/Fluid Control,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 121,Aerospace Fundamentals,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 540,Elements of Rocket Propulsion,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 460,Aerospace Engineering Professional Preparation,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/MATH 141,Calculus I (B4) 1,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 571,Selected Advanced Topics Laboratory 2,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,HNRS/PHYS 132,General Physics II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 512,Aerospace Vehicle Software Application,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 306,Aerodynamics and Flight Performance,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 443,Aircraft Design I,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 360,Creative Problem Solving in Engineering Design 2,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 528,Laminar Flow Aircraft Development,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 350,Fundamentals of Systems Engineering,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 434,Aerospace Structural Analysis III,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 351,Introduction to Orbital Mechanics,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 321,"Experimental Sensors, Actuators and Control",#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 569,Aerodynamic Research and Development II,#ffbf00
collegeofengineering,Aerospace Engineering,Aerospace Engineering,AERO 447,Spacecraft Design I,#ffbf00
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 150,Forage Crops,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 133,Pomology II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 432,Specialized Operations for Golf Courses and Athletic Fields,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,WVIT 233,Basic Viticulture,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS/WVIT 414,Grape Pest Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 350,Abiotic Plant Problems,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 190,California Vegetable Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 175,Beekeeping,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS/WVIT 331,Advanced Viticulture - Fall,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SPAN 103,Elementary Spanish III,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 343,Turfgrass Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 203,Organic Enterprise Project,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 132,Pomology I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SS 120,Introductory Soil Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 437,Park and Public Space Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 215,Floral Design I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 441,Biological Control for Pest Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 428,Advances in Plant Pathology,#ff99f1
