College,Major,Program,Course Prefix,Course Name,Color
collegeofengineering,Computer Science,Computer Science,MATH 437,Game Theory,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 307,Introduction to Software Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,BIO 111,General Biology,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 481,Knowledge Based Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 416,Statistical Analysis of Time Series,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 497,Research Senior Project I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 309,Software Engineering II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 378,Interactive Entertainment Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 484,User-Centered Interface Design and Development,#ffbf00
collegeofengineering,Computer Science,Computer Science,EE 509,Computational Intelligence,#ffbf00
collegeofengineering,Computer Science,Computer Science,BMED/BRAE 213,Bioengineering Fundamentals,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 487,Deep Learning,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 509,Software Engineering II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 572,Computer Graphics,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 242,Differential Equations I,#ffbf00
collegeofengineering,Computer Science,Computer Science,ES/WGS 350,"Gender, Race, Culture, Science & Technology",#ffbf00
collegeofengineering,Computer Science,Computer Science,PHYS 133,General Physics III,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 426,Introduction to Hardware Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 323,Cryptography Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 412,Introduction to Analysis I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 402,Software Requirements Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 448,Bioinformatics Algorithms,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 521,Computer Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS/MATH 141,Calculus I (B4) 4,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 473,Advanced Rendering Techniques,#ffbf00
collegeofengineering,Computer Science,Computer Science,COMS 404,Video Games & Society,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 300,Professional Responsibilities,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS/MATH 142,Calculus II (B4) 4,#ffbf00
collegeofengineering,Computer Science,Computer Science,DATA 301,Introduction to Data Science,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 478,Current Topics in Computer Graphics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 425,Wireless Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,PHIL 422,Philosophy of Mind,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 564,Computer Networks: Research Topics,#ffbf00
collegeofengineering,Computer Science,Computer Science,ME 211,Engineering Statics,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 306,Linear Algebra II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 350,Computing for Interactive Arts Capstone I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 371,Game Design,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 101,Fundamentals of Computer Science,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 434,Statistical Learning: Methods and Applications,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 496,Selected Advanced Laboratory 2,#ffbf00
collegeofengineering,Computer Science,Computer Science,AERO 450,Introduction to Aerospace Systems Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,BOT 121,General Botany,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 470,Selected Advanced Topics,#ffbf00
collegeofengineering,Computer Science,Computer Science,ART 182,Foundation in Digital Art I,#ffbf00
collegeofengineering,Computer Science,Computer Science,ME 212,Engineering Dynamics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 377,Introduction to Mixed Reality,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 569,Distributed Computing,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 248,Methods of Proof in Mathematics,#ffbf00
collegeofengineering,Computer Science,Computer Science,ISLA 341,Media Arts and Technologies: Cinematic Process,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 422,Network Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,BUS/ENGR 310,Introduction to Entrepreneurship,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 469,Distributed Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 453,Introduction to Operating Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 225,Introduction to Computer Organization,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 365,Introduction to Database Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,ART 384,Digital 3D Modeling and Design,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 582,Computational Linguistics,#ffbf00
collegeofengineering,Computer Science,Computer Science,BIO 213,Life Science for Engineers,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 202,Data Structures,#ffbf00
collegeofengineering,Computer Science,Computer Science,ISLA 340,Media Arts and Technologies: Storytelling 1,#ffbf00
collegeofengineering,Computer Science,Computer Science,PSY 329,Research Methods in Psychology,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 405,Software Construction,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 566,Topics in Advanced Data Mining,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 482,Speech and Language Processing,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 560,Database Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 357,Systems Programming,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 471,Introduction to Computer Graphics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 325,Introduction to Privacy: Policy and Technology,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 424,Software Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 416,Autonomous Mobile Robotics,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 305,Introduction to Probability and Simulation,#ffbf00
collegeofengineering,Computer Science,Computer Science,IME 314,Engineering Economics,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS 134/PHYS 141,General Physics IA,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 312,Survey of Organic Chemistry,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/EE 442,Real Time Embedded Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 550,Operating Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 125,General Chemistry for Physical Science and Engineering II,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 453,Numerical Optimization,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 445,Theory of Computation I,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 341,Theory of Numbers,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 321,Introduction to Computer Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 126,General Chemistry for Physical Science and Engineering III,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 437,Dynamic Web Development,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 580,Artificial Intelligence,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 515,Computer Architecture,#ffbf00
collegeofengineering,Computer Science,Computer Science,IME 301,Operations Research I,#ffbf00
collegeofengineering,Computer Science,Computer Science,IME 356,Manufacturing Automation,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 323,Design and Analysis of Experiments I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 477,Scientific and Information Visualization,#ffbf00
collegeofengineering,Computer Science,Computer Science,EE 424,Introduction to Remote Sensing,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 491,Senior Project I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 454,Implementation of Operating Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 369,Introduction to Distributed Computing,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 406,Senior Project - Software Deployment,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 488/IME 458/MATE 458,Microelectronics and Electronics Packaging,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 218,Organic Chemistry III,#ffbf00
collegeofengineering,Computer Science,Computer Science,PSY 357,Cognition,#ffbf00
collegeofengineering,Computer Science,Computer Science,ART 183,Foundation in Digital Art II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 530,Languages and Translators,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 436,Mobile Application Development,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 366,"Database Modeling, Design and Implementation",#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 492,Senior Project II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 409,Current Topics in Software Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,PSY 333,Quantitative Research Methods for the Behavioral Sciences,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 430,Programming Languages,#ffbf00
collegeofengineering,Computer Science,Computer Science,ART 376,The Art of Mixed Reality,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 216,Organic Chemistry I,#ffbf00
collegeofengineering,Computer Science,Computer Science,ENGL 387,Fiction Writing,#ffbf00
collegeofengineering,Computer Science,Computer Science,EE 251,Electric Circuits Laboratory,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS/MATH 143,Calculus III (Area B Electives) 4,#ffbf00
collegeofengineering,Computer Science,Computer Science,ENGL 411,New Media Arts I,#ffbf00
collegeofengineering,Computer Science,Computer Science,MCRO 221,Microbiology,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 400,Special Problems for Undergraduates 2,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/EE 428,Computer Vision,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 474,Computer Animation,#ffbf00
collegeofengineering,Computer Science,Computer Science,EE 314,Introduction to Communication Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 549,Advanced Algorithm Design and Analysis,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 431,Compiler Construction,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 308,Software Engineering I,#ffbf00
collegeofengineering,Computer Science,Computer Science,IME 315,Financial Decision Making for Engineers,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 458,Current Topics in Computer Systems,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 508,Software Engineering I,#ffbf00
collegeofengineering,Computer Science,Computer Science,EE 201,Electric Circuit Theory,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 429,Current Topics in Computer Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 464,Introduction to Computer Networks,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/EE 336,Microprocessor System Design,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 206,Linear Algebra I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 321,Introduction to Computer Security 3,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 466,Knowledge Discovery from Data,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 570,Current Topics in Computer Science,#ffbf00
collegeofengineering,Computer Science,Computer Science,ECON 339,Econometrics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 400,Special Problems 2,#ffbf00
collegeofengineering,Computer Science,Computer Science,ISLA 240,Introduction to Media Arts and Technologies,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 451,Numerical Analysis I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 486,Human-Computer Interaction Theory and Design,#ffbf00
collegeofengineering,Computer Science,Computer Science,PHIL 412,Epistemology,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 350,Mathematical Software,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 331,Statistical Computing with R,#ffbf00
collegeofengineering,Computer Science,Computer Science,ENGL 412,New Media Arts II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 422,Network Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 335,Graph Theory,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 498,Research Senior Project II,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 324,Applied Regression Analysis,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 330,Statistical Computing with SAS,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 313,Teaching Computing,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 241,Calculus IV,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 217,Organic Chemistry II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 465,Advanced Computer Networks,#ffbf00
collegeofengineering,Computer Science,Computer Science,CHEM 124,General Chemistry for Physical Science and Engineering I,#ffbf00
collegeofengineering,Computer Science,Computer Science,ME 405,Mechatronics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 540,Theory of Computation II,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 336,Combinatorial Math,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 468,Database Management Systems Implementation,#ffbf00
collegeofengineering,Computer Science,Computer Science,BIO 161,Introduction to Cell and Molecular Biology,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 349,Design and  Analysis of Algorithms,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 480,Artificial Intelligence,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 315,Computer Architecture,#ffbf00
collegeofengineering,Computer Science,Computer Science,ENVE 542,Sustainable Environmental Engineering,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 123,Introduction to Computing 1,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS/PHIL 230,Philosophical Classics: Knowledge and Reality (C2) 4,#ffbf00
collegeofengineering,Computer Science,Computer Science,HNRS/PHYS 132,General Physics II,#ffbf00
collegeofengineering,Computer Science,Computer Science,MATH 481,Abstract Algebra I,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 305,Individual Software Design and Development,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE/CSC 476,Real-Time 3D Computer Graphics Software,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 450,Computing for Interactive Arts Capstone II,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 524,System Security,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 248,Discrete Structures,#ffbf00
collegeofengineering,Computer Science,Computer Science,CPE 419,Applied Parallel Computing,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 334,Applied Linear Models,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 312,Statistical Methods for Engineers (Upper-Division B) 4,#ffbf00
collegeofengineering,Computer Science,Computer Science,STAT 419,Applied Multivariate Statistics,#ffbf00
collegeofengineering,Computer Science,Computer Science,CSC 344,Music Programming,#ffbf00
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 413,Jobsite Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ARCE 226,Introduction to Structural Systems,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 485,Cooperative Education Experience (6 units maximum),#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,GEOL 201,Physical Geology,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 420,Service / Experiential Learning,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ARCE 211,Structures I,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 317,Sustainability and the Built Environment (Upper-Division B) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 421,Emerging Trends,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ECON/HNRS 201,Survey of Economics (D2) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 280,Building Information Modeling,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 426,International Construction Studies,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 335,Construction Accounting,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 450,"Integrated Project, Design and Program Management",#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ARCE 315,Introduction to Structural Design,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ENGL 310,Corporate Communication (GWR),#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 313,Commercial Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,BUS 212,Financial Accounting for Nonbusiness Majors,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 115,Fundamentals of Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 422,Professional Preparation,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 461,Senior Project I,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 475,Real Property Development Principles,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CE 429,Highway Pavement Designs,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,BUS 207,Legal Responsibilities of Business,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 214,Residential Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CE 204,Mechanics of Materials I,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 424,Construction Technology,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 443,Management of the Construction Firm,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CHEM 124,General Chemistry for Physical Science and Engineering I (B1 & B3) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 102,Introduction to Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 314,Heavy Civil Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 423,Construction Materials / Assemblies,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 460,Senior Project Methodology,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,MATH 182,"Calculus for Architecture and Construction Management (GE Electives) 1,2",#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,HNRS/PHYS 132,General Physics II (B1 & B3) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CHEM 127,General Chemistry for Agriculture and Life Science I (B1 & B3) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CE 413,Advanced Civil Computer-Aided Site Design,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 114,Construction Materials and Assemblies Lab,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 232,Evaluation of Cost Alternatives,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 462,Senior Project II,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CE 474,Environmental Compliance and Permitting,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ARCE 421,Soil Mechanics,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 318,Housing and Communities (Upper-Division D) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,BRAE 239,Engineering Surveying,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,HNRS/MATH 141,Calculus I (B4) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 425,Sustainability and Environment,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,HNRS 134/PHYS 141,General Physics IA,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,STAT 251,Statistical Inference for Management I,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 411,Specialty Contracting Construction Management,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 334,Construction Law,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ARCE 212,Structures II,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,EDES 123,Principles of Environmental Design (E) 1,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,ME 211,Engineering Statics,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,CM 113,Construction Materials and Assemblies,#d1810a
collegeofarchitectureandenvironmentaldesign,Construction Management,Construction Management,BUS 215,Managerial Accounting,#d1810a
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,AEPS 150,Forage Crops,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,COMS 301,Business and Professional Communication,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 412,Dairy Farm Consultation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 406,Applied Animal Embryology and Assisted Reproduction,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,CHEM 220,Organic Chemistry Laboratory For Life Sciences II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,BIO 160,Diversity and History of Life,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 125,Introduction to Food Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,JOUR 205,Agricultural Communications,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 304,Animal Genomics,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 420,Animal Metabolism and Nutrition,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 410,Applied Animal Behavior Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 330,Introduction to Principles of Food Engineering,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 477,Senior Project - Research Experience in Animal Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,CHEM 218,Organic Chemistry III,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,BUS 212,Financial Accounting for Nonbusiness Majors,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 410,Advanced Dairy Nutrition,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 370,Food Plant Sanitation and Prerequisite Programs,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 311,Sensory Evaluation of Food,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,BIO 111,"General Biology (B2 & B3) 1, 2",#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 312,Production Medicine,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,CHEM 216,Organic Chemistry I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 440,Immunology and Diseases of Animals,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,CHEM 223,Organic Chemistry Laboratory for Life Sciences III,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,AGC 102,Orientation to Agricultural Communication & Agricultural Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 112,Principles of Animal Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,PHYS 121,College Physics I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,STAT 313,Applied Experimental Design and Regression Models,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,MCRO 221,Microbiology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,AGB 369,Agricultural Personnel Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 101,Introduction to the Animal Sciences,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 202,Dairy Promotion and Marketing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 333,"Dairy Animal Health, Safety and Applied Technology",#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 432,Advanced Dairy Herd Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 301,Dairy Cattle Nutrition,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 230,Elements of Food Processing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,FSN 275,Elements of Food Safety,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 221,Introduction to Beef Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 405,Domestic Livestock Endocrinology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 422,Breeding and Genetics of Dairy Cattle,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,BRAE 141,Agricultural Machinery Safety,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,NR 141,Introduction to Forest Ecosystem Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 102,Dairy Operations and Safety,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,MATH 118,"Precalculus Algebra (B4) 1, 3",#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 220,Introductory Animal Nutrition and Feeding,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,ASCI 226,Livestock Evaluation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,AGB 310,Agribusiness Credit and Finance,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,MCRO 342,Public Health Microbiology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,PHYS 125,College Physics I Laboratory,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 231,General Dairy Manufacturing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,DSCI 233,Milk Processing and Inspection,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Dairy Science,Dairy Science,STAT 218,Applied Statistics for the Life Sciences (GE Electives) 1,#ff99f1
