UMAP Random State,Num Topics,Num Combinations,Num Top Words,Num Top Programs,Reachable Programs,Reachable Programs %
52,10,6,5,3,15,17.857142857142858
52,10,6,5,5,22,26.19047619047619
52,10,6,5,7,26,30.952380952380953
52,10,6,10,3,18,21.428571428571427
52,10,6,10,5,24,28.571428571428573
52,10,6,10,7,30,35.714285714285715
52,10,6,15,3,15,17.857142857142858
52,10,6,15,5,25,29.761904761904763
52,10,6,15,7,28,33.333333333333336
52,10,6,20,3,16,19.047619047619047
52,10,6,20,5,23,27.38095238095238
52,10,6,20,7,28,33.333333333333336
52,20,6,5,3,46,54.76190476190476
52,20,6,5,5,52,61.904761904761905
52,20,6,5,7,64,76.19047619047619
52,20,6,10,3,46,54.76190476190476
52,20,6,10,5,56,66.66666666666667
52,20,6,10,7,64,76.19047619047619
52,20,6,15,3,47,55.95238095238095
52,20,6,15,5,57,67.85714285714286
52,20,6,15,7,65,77.38095238095238
52,20,6,20,3,48,57.142857142857146
52,20,6,20,5,53,63.095238095238095
52,20,6,20,7,65,77.38095238095238
52,25,6,5,3,58,69.04761904761905
52,25,6,5,5,66,78.57142857142857
52,25,6,5,7,72,85.71428571428571
52,25,6,10,3,56,66.66666666666667
52,25,6,10,5,66,78.57142857142857
52,25,6,10,7,73,86.9047619047619
52,25,6,15,3,57,67.85714285714286
52,25,6,15,5,68,80.95238095238095
52,25,6,15,7,75,89.28571428571429
52,25,6,20,3,59,70.23809523809524
52,25,6,20,5,68,80.95238095238095
52,25,6,20,7,75,89.28571428571429
52,30,6,5,3,63,75.0
52,30,6,5,5,74,88.0952380952381
52,30,6,5,7,82,97.61904761904762
52,30,6,10,3,68,80.95238095238095
52,30,6,10,5,76,90.47619047619048
52,30,6,10,7,81,96.42857142857143
52,30,6,15,3,69,82.14285714285714
52,30,6,15,5,78,92.85714285714286
52,30,6,15,7,80,95.23809523809524
52,30,6,20,3,72,85.71428571428571
52,30,6,20,5,78,92.85714285714286
52,30,6,20,7,82,97.61904761904762
