Manufacturing Engineering,48,87,16,100,16,12,4,0,93,26,132,39,20,26,18,13,68,31,60,115,214,30,106,47,52,28,23,51,78,118
Marine Sciences,49,40,22,102,53,48,2,0,44,34,171,14,15,35,17,22,33,10,20,57,86,90,72,40,48,23,8,28,34,24
Materials Engineering,18,46,7,63,18,37,5,0,78,19,43,19,12,9,23,7,44,16,24,57,108,47,58,21,41,24,11,11,58,73
Mathematics,7,40,3,42,2,18,4,1,51,22,12,11,3,7,8,3,17,59,40,49,60,8,119,8,19,106,10,9,35,22
Mechanical Engineering,16,62,13,83,9,22,7,0,99,17,34,3,26,21,30,5,56,41,66,57,149,26,84,33,65,33,17,13,93,79
Microbiology,16,40,7,74,20,8,1,0,44,15,43,5,4,8,40,7,90,12,15,68,41,146,51,58,19,13,6,7,28,23
Music,22,14,9,27,7,10,170,0,8,8,1,0,8,15,0,2,2,5,1,7,5,3,5,7,0,1,0,3,0,2
Nutrition,39,35,5,65,25,15,6,0,49,18,37,16,12,15,119,75,47,12,16,55,34,121,28,31,13,17,8,9,22,16
Philosophy,43,9,2,13,3,8,0,8,10,2,22,4,1,4,6,15,2,0,1,12,10,1,8,3,1,2,1,2,4,16
Physics,13,14,4,28,6,4,0,0,17,5,8,0,3,4,4,8,6,18,3,13,16,8,24,0,4,20,3,0,10,14
Political Science,188,48,3,14,2,3,0,5,25,17,49,39,11,18,9,43,8,4,11,39,23,3,26,9,9,4,10,19,11,9
Public Health,128,33,5,41,14,33,2,4,58,75,106,19,27,18,207,119,32,8,30,56,39,55,48,30,8,9,21,34,12,19
Psychology,107,14,4,31,14,24,0,1,26,12,22,8,7,12,33,107,4,2,6,20,13,13,16,2,1,3,10,23,6,5
"Recreation, Parks, and Tourism Administration",137,73,12,50,18,26,3,5,46,22,198,57,37,42,24,65,77,7,12,160,111,4,46,69,15,9,47,101,10,37
Sociology,168,45,1,23,7,17,1,4,39,17,51,23,11,13,15,95,15,8,18,48,40,5,32,14,14,2,16,25,13,16
Software Engineering,24,51,3,76,14,34,7,2,95,44,70,15,29,18,10,28,51,72,242,84,145,57,162,36,53,57,26,37,96,99
Spanish,322,44,19,78,42,42,12,70,46,155,110,49,32,59,19,62,5,3,29,39,49,4,28,4,9,0,7,27,4,9
Statistics,2,25,3,30,2,1,2,0,28,9,4,0,6,5,0,1,6,24,26,26,48,0,110,4,4,41,9,6,26,22
Theatre Arts,22,18,9,18,3,5,16,1,26,11,4,2,17,24,4,5,11,2,5,15,21,5,9,9,2,0,3,8,2,11
Wine and Viticulture,40,66,2,49,15,6,1,3,36,52,72,66,16,16,14,11,84,5,11,146,55,61,31,93,19,5,8,46,10,35
Accounting,2,2,8,0,0,0,0,0,1,1,2,37,2,8,0,0,2,0,0,8,6,1,0,1,1,0,0,1,4,3
Consumer Packaging,1,6,3,3,0,2,0,0,3,2,10,4,5,2,3,1,11,1,0,9,11,3,7,3,0,1,1,2,3,40
Entrepreneurship,10,20,2,12,0,1,0,0,7,1,12,23,6,4,0,7,6,0,6,18,16,2,3,6,1,0,14,11,5,25
"Ethics, Law and Social Justice",85,8,1,8,0,1,0,3,11,2,11,12,5,5,4,20,0,2,0,10,15,4,9,1,1,1,0,1,5,6
Financial Management,12,16,6,5,0,1,0,1,14,7,20,102,1,7,1,3,11,3,13,52,22,6,14,10,2,6,1,7,5,16
Global Citizenship and Social Sustainability,205,14,12,20,12,9,0,5,20,24,168,40,17,30,4,47,12,1,8,27,45,1,10,9,17,0,6,28,5,16
Health and Society,156,8,14,37,23,20,0,2,21,18,154,13,16,17,55,89,17,2,7,29,41,8,7,11,10,3,7,20,9,18
Industrial Technology,4,26,6,8,0,4,2,0,8,2,21,21,7,6,3,4,22,0,2,30,38,2,4,19,0,0,7,16,9,65
Information Systems,2,12,0,3,0,3,1,0,5,2,11,8,3,1,0,1,7,1,10,20,20,0,6,7,2,0,4,11,6,8
Management and Human Resources,5,22,0,8,0,6,7,0,7,2,28,12,0,1,0,5,7,0,0,23,23,1,3,11,0,1,11,21,2,25
Marketing Management,3,14,2,6,0,2,0,0,3,0,3,2,5,5,0,3,6,3,3,26,8,0,6,3,0,0,3,2,5,9
Packaging Technology,0,10,4,2,0,2,0,0,2,0,3,4,4,5,2,0,20,0,0,13,12,3,3,3,0,0,1,0,4,39
Quantitative Analysis,4,23,0,20,0,1,1,0,21,4,5,12,1,3,1,1,4,35,18,31,26,0,73,2,3,46,3,2,13,10
Real Estate Finance,8,9,2,4,0,0,0,1,10,2,27,28,1,2,1,1,8,2,3,17,16,2,9,11,5,1,2,8,2,6
"Science, Technology and Society",107,5,15,27,22,11,0,6,10,20,188,17,25,20,12,30,10,2,16,20,41,0,4,8,24,1,15,22,9,43
Visual Media and Cultural Studies,141,25,7,29,10,5,16,10,19,22,11,3,24,25,0,12,8,4,9,24,28,0,18,9,2,0,3,2,3,8
"Bioinformatics, Cross Disciplinary Studies",0,12,1,23,5,2,2,0,16,8,4,0,1,2,2,1,6,1,11,12,27,41,22,5,1,2,4,5,10,14
"Data Science, Cross Disciplinary Studies",0,11,0,12,0,4,2,0,13,7,5,0,4,1,0,1,5,12,19,14,30,0,42,5,2,18,5,7,14,11
"Heavy Civil, Cross Disciplinary Studies",2,5,0,6,0,0,1,0,40,0,14,3,3,5,0,0,8,0,2,12,55,0,7,16,10,0,0,9,12,7
