Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,10,48,5,62,6,0,7,52,58,16,10,15,9,10,261,1,47,13,68,75,5,54,11,14,14,28,9,20,9,10
Agricultural and Environmental Plant Sciences,26,21,7,225,7,3,44,13,18,19,2,35,1,92,30,12,5,3,2,19,8,60,27,7,43,8,12,6,58,82
Agricultural Business,24,7,11,113,6,0,24,28,25,20,4,4,1,89,17,7,5,1,1,22,25,29,23,5,31,4,6,6,36,17
Agricultural Communication,23,12,13,84,33,0,32,13,11,16,6,11,0,67,12,0,6,1,3,18,17,23,16,6,23,8,2,6,25,19
Agricultural Science,46,23,14,223,19,1,28,35,33,35,7,7,3,192,51,19,5,3,7,24,36,75,54,14,78,9,10,7,97,60
Agricultural Systems Management,23,43,11,115,19,4,25,31,46,22,10,9,2,113,86,7,9,3,28,44,17,58,46,15,76,11,14,32,74,31
Animal Science,40,18,43,233,14,5,186,62,64,103,18,27,6,302,64,10,28,5,28,55,43,125,26,32,90,36,17,16,128,103
Anthropology and Geography,125,13,33,63,25,8,22,18,26,31,19,30,1,38,23,17,2,3,11,24,39,32,22,17,246,10,50,2,21,60
Architectural Engineering,5,15,4,24,9,0,4,26,26,9,1,4,1,7,45,1,22,2,31,40,2,64,8,6,8,54,3,5,2,0
Architecture,17,2,6,5,16,0,1,2,5,9,0,2,0,9,12,3,21,0,6,2,1,86,2,3,15,42,11,4,5,3
Art and Design,129,20,18,22,105,17,1,16,37,4,4,14,6,16,17,11,4,4,2,8,8,47,3,5,8,2,9,11,16,5
Biochemistry,8,5,44,36,12,3,147,40,29,23,9,15,0,17,37,0,28,0,22,31,0,24,4,15,12,17,2,38,3,16
Biological Sciences,58,31,135,97,38,13,176,68,69,73,20,32,0,39,61,24,30,6,15,77,16,54,27,9,201,21,15,11,31,137
Biomedical Engineering,15,62,18,53,26,1,93,54,59,25,10,20,0,21,111,3,47,18,49,81,3,77,3,10,13,34,8,70,36,18
BioResource and Agricultural Engineering,17,38,8,40,13,3,36,18,27,13,7,10,0,34,92,4,22,5,43,36,9,31,29,7,42,21,5,13,21,23
Business Administration,27,10,5,25,7,2,2,40,39,8,4,11,3,11,17,4,4,0,0,26,58,25,0,6,9,5,20,7,25,6
Chemistry,8,23,44,33,10,3,114,38,27,16,10,16,0,16,41,0,29,0,32,45,0,20,4,15,10,14,2,38,3,14
Child Development,25,3,61,3,5,1,29,4,4,23,22,5,0,3,3,1,2,0,1,11,3,4,0,6,13,12,4,2,0,25
