	Timestamp	Year	Are you a Cal Poly student?	Major	Check all Interest Clusters Selected (up to 8)	My current program was recommended	One or more of the recommended programs matched my interests	There is an unexpected program that I did not consider yet	A program that I would consider (besides the one I'm enrolled in) is not recommended	Do you agree or disagree with following statements below [I think this tool can be useful to select a major]	Do you agree or disagree with following statements below [I would consider using this tool in addition to existing resources]	Do you agree or disagree with following statements below [I think the interest word clouds were mostly meaningful]	Do you agree or disagree with following statements below [It was easy for me to select interesting word clouds]	Do you agree or disagree with following statements below [Overall, it was easy to use this tool]	Do you have any suggestions for improvements to this tool?	Unnamed: 15	1st Rec	2nd Rec	3rd Rec	4th Rec	5th Rec	6th Rec	7th Rec
0	2/1/2023 16:51:58	Beyond 5th Year	Yes	Industrial Engineering	3, 10, 11, 18, 20, 22, 24, 25, 26, 28, 29	Yes	Yes	No	No	Strongly Agree	Agree	Agree	Neutral	Agree			Science, Technology and Society	Industrial Engineering	Manufacturing Engineering	Management and Human Resources	Data Science, Cross Disciplinary Studies	Bioinformatics, Cross Disciplinary Studies	Real Estate Finance
1	2/2/2023 20:33:26	4th Year	Yes	Business Admin -- Finance	1, 2, 9, 11, 22, 25, 27	Yes	Yes	Yes	No	Agree	Strongly Agree	Agree	Agree	Agree	Really awesome! Maybe do a blind study without people knowing this is a major test? 		Business Administration	Financial Management	Accounting	Management and Human Resources	Economics	Real Estate Finance	Data Science, Cross Disciplinary Studies
2	2/2/2023 20:45:32	Beyond 5th Year	Yes	Political Science	0, 1, 5, 7, 13, 15, 26, 27	No	Yes	Yes	Yes	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	This tool was a very interesting way to map interests to specific majors 		Health and Society	Global Citizenship and Social Sustainability	Science, Technology and Society	Comparative Ethnic Studies	Sociology	Psychology	Management and Human Resources
3	2/2/2023 20:46:33	4th Year	Yes	Environmental Management and Protection	1, 10, 19, 20, 21, 24, 27	Yes	Yes	Yes	Yes	Agree	Agree	Agree	Strongly Agree	Strongly Agree	Excluding the name of majors from clusters might decrease bias.		Management and Human Resources	Science, Technology and Society	Forest and Fire Sciences	Anthropology and Geography	Environmental Management and Protection	Bioinformatics, Cross Disciplinary Studies	Information Systems
4	2/6/2023 16:36:37	1st Year	Yes	Communication Studies	6, 12, 24	No	Yes	No	No	Strongly Agree	Agree	Agree	Agree	Strongly Agree			Music	Journalism	Civil Engineering	Forest and Fire Sciences	Art and Design	Environmental Earth and Soil Sciences	Graphic Communication
5	2/6/2023 16:36:41	1st Year	Yes	Psychology	4, 10, 15, 23	No	Yes	Yes	Yes	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree			Science, Technology and Society	Health and Society	Anthropology and Geography	Global Citizenship and Social Sustainability	Forest and Fire Sciences	Environmental Management and Protection	Agricultural and Environmental Plant Sciences
6	2/6/2023 16:43:44	2nd Year	Yes	Mechanical Engineering	4, 7, 9, 10, 20, 21, 28	No	Yes	No	No	Agree	Agree	Agree	Neutral	Strongly Agree			Science, Technology and Society	Bioinformatics, Cross Disciplinary Studies	Health and Society	Anthropology and Geography	Global Citizenship and Social Sustainability	Industrial Engineering	Manufacturing Engineering
7	2/6/2023 16:58:43	3rd Year	Yes	Biological Sciences	2, 6, 7, 14, 15, 21, 22, 25	No	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Awesome!		Bioinformatics, Cross Disciplinary Studies	Health and Society	Kinesiology	Public Health	Nutrition	Child Development	Biochemistry
8	2/6/2023 17:04:40	4th Year	No	Public Health	4, 7, 8, 14, 15	Yes	Yes	No	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Maybe a step further and could recommend potential jobs/internships:) thought this was pretty snazzy 		Health and Society	Kinesiology	Child Development	Public Health	Psychology	Nutrition	Sociology
9	2/6/2023 17:04:46	2nd Year	No	Public Health	3	Yes	Yes	Yes	Yes	Agree	Neutral	Agree	Agree	Agree			Bioinformatics, Cross Disciplinary Studies	Biological Sciences	Industrial Engineering	Biochemistry	Chemistry	Manufacturing Engineering	Marine Sciences
10	2/6/2023 17:05:26	4th Year	No	Microbiology	2, 6, 12, 14, 16, 21	No	Yes	Yes	Yes	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree			Food Science	Dairy Science	Bioinformatics, Cross Disciplinary Studies	Biochemistry	Graphic Communication	Music	Agricultural Communication
11	2/6/2023 17:09:26	3rd Year	Yes	Kinesiology	4, 5, 7, 10, 14, 24	No	Yes	Yes	Yes	Agree	Strongly Agree	Agree	Agree	Agree	I think this tool is far more beneficial to students who have not declared a major yet, since it provides many different options (helpful for someone searching for a major idea). Overall a very cool idea and tool 		Science, Technology and Society	Health and Society	Anthropology and Geography	Forest and Fire Sciences	Global Citizenship and Social Sustainability	Environmental Earth and Soil Sciences	Environmental Management and Protection
12	2/6/2023 17:14:42	2nd Year	Yes	Graphic Communication	6, 29	Yes	Yes	No	Yes	Agree	Agree	Agree	Neutral	Strongly Agree	Nope		Music	Consumer Packaging	Packaging Technology	Industrial Technology	Management and Human Resources	Industrial Technology and Packaging	Entrepreneurship
13	2/6/2023 17:15:27	2nd Year	Yes	Graphic Communication	6, 13, 24, 29	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree			Music	Packaging Technology	Consumer Packaging	Industrial Technology	Science, Technology and Society	Management and Human Resources	Civil Engineering
14	2/6/2023 17:18:40	3rd Year	Yes	Environmental Earth and Soil Sciences	4	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree			Child Development	Science, Technology and Society	Health and Society	Biological Sciences	Chemistry	Liberal Studies	Marine Sciences
15	2/6/2023 17:26:46	2nd Year	No	Political Science	0, 4, 9	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree			Global Citizenship and Social Sustainability	Health and Society	Comparative Ethnic Studies	Science, Technology and Society	History	Spanish	English
16	2/6/2023 17:39:12	3rd Year	Yes	Art and Design	3, 17, 18, 22, 29	No	No	No	No	Agree	Agree	Neutral	Neutral	Strongly Agree	As an art and design major I didn’t see many clusters that described my particular program, maybe expanding those clusters to be sure they focus in on each major that is offered. 		Data Science, Cross Disciplinary Studies	Bioinformatics, Cross Disciplinary Studies	Computer Engineering	Computer Science	Electrical Engineering	Statistics	Software Engineering
17	2/14/2023 17:39:23	Beyond 5th Year	Yes	Biomedical Engineering	1, 3, 4, 6, 14, 21, 26, 27	Yes	Yes	No	Yes	Agree	Agree	Agree	Disagree	Strongly Agree			Bioinformatics, Cross Disciplinary Studies	Management and Human Resources	Biochemistry	Kinesiology	Chemistry	Biological Sciences	Nutrition
18	2/14/2023 17:42:35	4th Year	Yes	Business Admin -- Entrepreneurship	0, 1, 6, 11, 14, 27	Yes	Yes	Yes	No	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree			Health and Society	Global Citizenship and Social Sustainability	Comparative Ethnic Studies	Business Administration	Management and Human Resources	Science, Technology and Society	Financial Management
