Accounting,2,0,3,1,2,1,1,12,2,13,0,0,1,2,0,4,1,0,0,0
Consumer Packaging,1,0,3,8,6,3,1,6,5,4,3,0,1,9,0,3,0,1,0,0
Entrepreneurship,10,1,4,7,13,0,1,17,11,22,0,6,1,6,0,3,4,0,0,0
"Ethics, Law and Social Justice",73,0,8,8,6,1,3,8,11,9,3,0,2,0,0,14,4,1,0,0
Financial Management,12,1,17,15,3,2,7,14,15,16,1,0,7,11,0,12,3,3,1,3
Global Citizenship and Social Sustainability,179,1,4,24,26,12,5,10,17,22,3,14,4,11,0,14,28,0,1,5
Health and Society,139,15,11,22,32,14,26,4,10,18,51,20,4,16,0,14,15,4,0,1
Industrial Technology,4,2,7,23,12,4,0,20,11,24,3,4,1,20,2,9,4,1,0,1
Information Systems,2,2,11,10,4,0,0,11,5,12,0,0,2,7,1,4,0,0,0,0
Management and Human Resources,5,2,1,12,8,0,2,16,9,20,0,5,1,6,7,4,0,1,0,0
Marketing Management,3,0,4,22,7,0,0,9,5,11,0,0,0,6,0,3,2,2,0,0
Packaging Technology,0,1,1,13,3,3,3,6,4,5,2,0,0,16,0,2,2,0,0,0
Quantitative Analysis,4,0,18,21,0,0,0,22,20,23,1,0,2,4,1,23,1,35,9,37
Real Estate Finance,8,0,4,12,1,2,2,7,10,8,1,0,2,8,0,5,2,0,1,2
"Science, Technology and Society",96,3,8,16,57,15,27,3,8,19,11,22,4,9,0,10,16,1,3,5
Visual Media and Cultural Studies,113,2,8,24,25,6,1,17,18,28,0,0,19,8,16,18,22,1,9,1
"Bioinformatics, Cross Disciplinary Studies",0,0,21,12,2,0,40,11,19,15,2,2,6,4,2,13,2,1,0,1
"Data Science, Cross Disciplinary Studies",0,3,27,14,2,0,5,11,15,13,0,2,5,4,2,14,0,8,0,11
"Heavy Civil, Cross Disciplinary Studies",2,0,5,15,2,0,0,4,43,4,0,0,0,8,1,12,0,1,0,0
