Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,0.10526315789473684,0.5052631578947369,0.010526315789473684,0.6526315789473685,0.05263157894736842,0.0,0.042105263157894736,0.5052631578947369,0.5894736842105263,0.09473684210526316,0.10526315789473684,0.031578947368421054,0.09473684210526316,0.06315789473684211,2.4842105263157896,0.010526315789473684,0.3368421052631579,0.021052631578947368,0.6105263157894737,0.22105263157894736,0.05263157894736842,0.06315789473684211,0.10526315789473684,0.14736842105263157,0.07368421052631578,0.17894736842105263,0.09473684210526316,0.18947368421052632,0.05263157894736842,0.0
Agricultural and Environmental Plant Sciences,0.29411764705882354,0.21176470588235294,0.011764705882352941,2.4352941176470586,0.07058823529411765,0.03529411764705882,0.3764705882352941,0.15294117647058825,0.21176470588235294,0.2235294117647059,0.011764705882352941,0.4117647058823529,0.011764705882352941,1.0470588235294118,0.3176470588235294,0.1411764705882353,0.058823529411764705,0.023529411764705882,0.023529411764705882,0.11764705882352941,0.08235294117647059,0.611764705882353,0.3176470588235294,0.058823529411764705,0.35294117647058826,0.09411764705882353,0.11764705882352941,0.058823529411764705,0.2235294117647059,0.25882352941176473
Agricultural Business,0.4,0.15555555555555556,0.06666666666666667,1.8444444444444446,0.1111111111111111,0.0,0.37777777777777777,0.5777777777777777,0.5555555555555556,0.4444444444444444,0.06666666666666667,0.06666666666666667,0.022222222222222223,1.8666666666666667,0.3333333333333333,0.15555555555555556,0.08888888888888889,0.0,0.022222222222222223,0.2222222222222222,0.5111111111111111,0.37777777777777777,0.5111111111111111,0.1111111111111111,0.5777777777777777,0.08888888888888889,0.1111111111111111,0.06666666666666667,0.37777777777777777,0.044444444444444446
Agricultural Communication,0.36363636363636365,0.2727272727272727,0.045454545454545456,1.4090909090909092,0.75,0.0,0.5227272727272727,0.29545454545454547,0.25,0.36363636363636365,0.09090909090909091,0.20454545454545456,0.0,1.4318181818181819,0.22727272727272727,0.0,0.11363636363636363,0.0,0.045454545454545456,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.13636363636363635,0.4090909090909091,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.20454545454545456,0.18181818181818182
Agricultural Science,0.37383177570093457,0.21495327102803738,0.07476635514018691,1.766355140186916,0.16822429906542055,0.009345794392523364,0.19626168224299065,0.3177570093457944,0.308411214953271,0.3177570093457944,0.018691588785046728,0.04672897196261682,0.028037383177570093,1.7102803738317758,0.4205607476635514,0.1308411214953271,0.037383177570093455,0.0,0.04672897196261682,0.06542056074766354,0.3177570093457944,0.5607476635514018,0.4953271028037383,0.102803738317757,0.5794392523364486,0.08411214953271028,0.09345794392523364,0.04672897196261682,0.3644859813084112,0.19626168224299065
Agricultural Systems Management,0.20987654320987653,0.5308641975308642,0.06172839506172839,0.9753086419753086,0.19753086419753085,0.04938271604938271,0.2222222222222222,0.38271604938271603,0.5679012345679012,0.24691358024691357,0.08641975308641975,0.07407407407407407,0.024691358024691357,1.2345679012345678,0.9259259259259259,0.08641975308641975,0.04938271604938271,0.0,0.19753086419753085,0.20987654320987653,0.20987654320987653,0.4691358024691358,0.5679012345679012,0.16049382716049382,0.8024691358024691,0.1111111111111111,0.1728395061728395,0.2345679012345679,0.6172839506172839,0.09876543209876543
Animal Science,0.13861386138613863,0.07920792079207921,0.13366336633663367,0.9405940594059405,0.054455445544554455,0.024752475247524754,0.7326732673267327,0.30198019801980197,0.3118811881188119,0.49504950495049505,0.0297029702970297,0.12871287128712872,0.0297029702970297,1.301980198019802,0.2722772277227723,0.04950495049504951,0.09900990099009901,0.0049504950495049506,0.09405940594059406,0.09900990099009901,0.2079207920792079,0.4603960396039604,0.12871287128712872,0.12871287128712872,0.3712871287128713,0.1782178217821782,0.0594059405940594,0.04950495049504951,0.21782178217821782,0.3564356435643564
Anthropology and Geography,1.5076923076923077,0.15384615384615385,0.46153846153846156,0.7846153846153846,0.38461538461538464,0.12307692307692308,0.3230769230769231,0.26153846153846155,0.4,0.4461538461538462,0.2153846153846154,0.12307692307692308,0.015384615384615385,0.49230769230769234,0.24615384615384617,0.26153846153846155,0.0,0.03076923076923077,0.13846153846153847,0.1076923076923077,0.5538461538461539,0.27692307692307694,0.24615384615384617,0.2,2.769230769230769,0.15384615384615385,0.6307692307692307,0.015384615384615385,0.15384615384615385,0.6461538461538462
Architectural Engineering,0.08163265306122448,0.30612244897959184,0.02040816326530612,0.4897959183673469,0.14285714285714285,0.0,0.061224489795918366,0.46938775510204084,0.5102040816326531,0.14285714285714285,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.7959183673469388,0.02040816326530612,0.22448979591836735,0.0,0.46938775510204084,0.24489795918367346,0.04081632653061224,0.7755102040816326,0.16326530612244897,0.12244897959183673,0.12244897959183673,0.8163265306122449,0.061224489795918366,0.10204081632653061,0.04081632653061224,0.0
Architecture,0.40540540540540543,0.02702702702702703,0.16216216216216217,0.13513513513513514,0.24324324324324326,0.0,0.0,0.05405405405405406,0.13513513513513514,0.16216216216216217,0.0,0.05405405405405406,0.0,0.16216216216216217,0.24324324324324326,0.08108108108108109,0.32432432432432434,0.0,0.10810810810810811,0.0,0.02702702702702703,1.945945945945946,0.05405405405405406,0.08108108108108109,0.21621621621621623,1.054054054054054,0.2972972972972973,0.10810810810810811,0.05405405405405406,0.0
Art and Design,1.3409090909090908,0.2159090909090909,0.20454545454545456,0.25,0.9886363636363636,0.10227272727272728,0.0,0.18181818181818182,0.42045454545454547,0.03409090909090909,0.045454545454545456,0.07954545454545454,0.022727272727272728,0.1590909090909091,0.19318181818181818,0.125,0.045454545454545456,0.022727272727272728,0.011363636363636364,0.0,0.09090909090909091,0.4318181818181818,0.03409090909090909,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.09090909090909091,0.10227272727272728,0.07954545454545454,0.045454545454545456
Biochemistry,0.02631578947368421,0.06578947368421052,0.4473684210526316,0.34210526315789475,0.07894736842105263,0.039473684210526314,1.5789473684210527,0.32894736842105265,0.34210526315789475,0.27631578947368424,0.09210526315789473,0.19736842105263158,0.0,0.05263157894736842,0.3815789473684211,0.0,0.19736842105263158,0.0,0.19736842105263158,0.11842105263157894,0.0,0.05263157894736842,0.039473684210526314,0.19736842105263158,0.11842105263157894,0.19736842105263158,0.02631578947368421,0.40789473684210525,0.039473684210526314,0.15789473684210525
Biological Sciences,0.31690140845070425,0.19718309859154928,0.7605633802816901,0.5774647887323944,0.20422535211267606,0.08450704225352113,1.0211267605633803,0.28169014084507044,0.4014084507042254,0.4507042253521127,0.11971830985915492,0.13380281690140844,0.0,0.19718309859154928,0.39436619718309857,0.16901408450704225,0.19014084507042253,0.0,0.09154929577464789,0.2112676056338028,0.1056338028169014,0.1267605633802817,0.18309859154929578,0.06338028169014084,1.0140845070422535,0.13380281690140844,0.1056338028169014,0.04929577464788732,0.1056338028169014,0.6830985915492958
Biomedical Engineering,0.11224489795918367,0.5306122448979592,0.061224489795918366,0.5306122448979592,0.21428571428571427,0.01020408163265306,0.6938775510204082,0.4897959183673469,0.5714285714285714,0.17346938775510204,0.07142857142857142,0.16326530612244897,0.0,0.12244897959183673,1.0,0.030612244897959183,0.3163265306122449,0.030612244897959183,0.37755102040816324,0.2653061224489796,0.030612244897959183,0.3469387755102041,0.030612244897959183,0.10204081632653061,0.12244897959183673,0.2857142857142857,0.08163265306122448,0.6224489795918368,0.21428571428571427,0.11224489795918367
BioResource and Agricultural Engineering,0.14285714285714285,0.6031746031746031,0.06349206349206349,0.5555555555555556,0.15873015873015872,0.047619047619047616,0.4603174603174603,0.2698412698412698,0.3968253968253968,0.15873015873015872,0.031746031746031744,0.09523809523809523,0.0,0.42857142857142855,1.2857142857142858,0.06349206349206349,0.20634920634920634,0.0,0.4126984126984127,0.25396825396825395,0.14285714285714285,0.2698412698412698,0.4603174603174603,0.1111111111111111,0.47619047619047616,0.25396825396825395,0.07936507936507936,0.20634920634920634,0.2222222222222222,0.15873015873015872
Business Administration,0.5454545454545454,0.30303030303030304,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0,0.030303030303030304,1.1515151515151516,1.1818181818181819,0.18181818181818182,0.12121212121212122,0.18181818181818182,0.06060606060606061,0.30303030303030304,0.48484848484848486,0.12121212121212122,0.09090909090909091,0.0,0.0,0.3333333333333333,1.7272727272727273,0.3333333333333333,0.0,0.12121212121212122,0.030303030303030304,0.15151515151515152,0.5151515151515151,0.09090909090909091,0.5454545454545454,0.06060606060606061
Chemistry,0.028985507246376812,0.2898550724637681,0.4782608695652174,0.3333333333333333,0.07246376811594203,0.043478260869565216,1.3333333333333333,0.3333333333333333,0.34782608695652173,0.21739130434782608,0.11594202898550725,0.21739130434782608,0.0,0.043478260869565216,0.4927536231884058,0.0,0.2463768115942029,0.0,0.36231884057971014,0.30434782608695654,0.0,0.028985507246376812,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.028985507246376812,0.4492753623188406,0.043478260869565216,0.17391304347826086
Child Development,0.5897435897435898,0.07692307692307693,1.4871794871794872,0.07692307692307693,0.1282051282051282,0.02564102564102564,0.5641025641025641,0.07692307692307693,0.10256410256410256,0.46153846153846156,0.46153846153846156,0.1282051282051282,0.0,0.0,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.15384615384615385,0.07692307692307693,0.02564102564102564,0.0,0.07692307692307693,0.3076923076923077,0.28205128205128205,0.10256410256410256,0.02564102564102564,0.0,0.41025641025641024
City and Regional Planning,1.217741935483871,0.16129032258064516,0.43548387096774194,0.4838709677419355,0.25806451612903225,0.08064516129032258,0.056451612903225805,0.3951612903225806,0.45161290322580644,0.1532258064516129,0.0967741935483871,0.04838709677419355,0.008064516129032258,0.22580645161290322,0.3790322580645161,0.12096774193548387,0.06451612903225806,0.0,0.04838709677419355,0.1693548387096774,0.43548387096774194,0.4032258064516129,0.1532258064516129,0.08064516129032258,1.6370967741935485,0.11290322580645161,0.5967741935483871,0.08870967741935484,0.0967741935483871,0.21774193548387097
