Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,0.021052631578947368,0.031578947368421054,0.4421052631578947,0.6421052631578947,0.031578947368421054,0.0,0.042105263157894736,0.5052631578947369,0.5894736842105263,0.5263157894736842,0.0,0.06315789473684211,0.0,0.031578947368421054,0.09473684210526316,1.5052631578947369,0.010526315789473684,0.30526315789473685,0.021052631578947368,0.29473684210526313
Agricultural and Environmental Plant Sciences,0.23529411764705882,0.023529411764705882,0.2,1.9176470588235295,0.058823529411764705,0.03529411764705882,0.2823529411764706,0.15294117647058825,0.2823529411764706,0.1411764705882353,0.16470588235294117,0.011764705882352941,0.32941176470588235,0.6823529411764706,0.011764705882352941,0.16470588235294117,0.1411764705882353,0.047058823529411764,0.023529411764705882,0.023529411764705882
Agricultural Business,0.28888888888888886,0.022222222222222223,0.15555555555555556,1.6,0.06666666666666667,0.0,0.3111111111111111,0.5777777777777777,0.35555555555555557,0.24444444444444444,0.26666666666666666,0.06666666666666667,0.0,1.5555555555555556,0.022222222222222223,0.08888888888888889,0.15555555555555556,0.06666666666666667,0.0,0.022222222222222223
Agricultural Communication,0.29545454545454547,0.022727272727272728,0.2727272727272727,1.25,0.7272727272727273,0.0,0.45454545454545453,0.29545454545454547,0.2727272727272727,0.18181818181818182,0.1590909090909091,0.09090909090909091,0.13636363636363635,1.1363636363636365,0.0,0.06818181818181818,0.0,0.09090909090909091,0.0,0.045454545454545456
Agricultural Science,0.2523364485981308,0.037383177570093455,0.18691588785046728,1.4953271028037383,0.1588785046728972,0.009345794392523364,0.14018691588785046,0.3177570093457944,0.17757009345794392,0.18691588785046728,0.205607476635514,0.018691588785046728,0.009345794392523364,1.280373831775701,0.028037383177570093,0.14953271028037382,0.08411214953271028,0.028037383177570093,0.0,0.009345794392523364
Agricultural Systems Management,0.1111111111111111,0.012345679012345678,0.43209876543209874,0.9506172839506173,0.12345679012345678,0.04938271604938271,0.1728395061728395,0.38271604938271603,0.4567901234567901,0.4444444444444444,0.07407407407407407,0.08641975308641975,0.012345679012345678,0.9876543209876543,0.024691358024691357,0.43209876543209874,0.08641975308641975,0.037037037037037035,0.0,0.04938271604938271
Animal Science,0.09900990099009901,0.07425742574257425,0.07920792079207921,0.8316831683168316,0.054455445544554455,0.01485148514851485,0.48514851485148514,0.30198019801980197,0.25742574257425743,0.21782178217821782,0.29207920792079206,0.0297029702970297,0.04455445544554455,1.0346534653465347,0.0297029702970297,0.07425742574257425,0.04950495049504951,0.07920792079207921,0.0049504950495049506,0.034653465346534656
Anthropology and Geography,1.1538461538461537,0.03076923076923077,0.15384615384615385,0.7384615384615385,0.2153846153846154,0.12307692307692308,0.2153846153846154,0.26153846153846155,0.26153846153846155,0.4,0.18461538461538463,0.2153846153846154,0.1076923076923077,0.3076923076923077,0.015384615384615385,0.03076923076923077,0.26153846153846155,0.0,0.03076923076923077,0.046153846153846156
Architectural Engineering,0.04081632653061224,0.0,0.30612244897959184,0.4897959183673469,0.061224489795918366,0.0,0.061224489795918366,0.46938775510204084,1.3877551020408163,0.46938775510204084,0.0,0.02040816326530612,0.0,0.0,0.02040816326530612,0.12244897959183673,0.02040816326530612,0.1836734693877551,0.0,0.24489795918367346
Architecture,0.32432432432432434,0.02702702702702703,0.02702702702702703,0.13513513513513514,0.13513513513513514,0.0,0.0,0.05405405405405406,1.7027027027027026,0.10810810810810811,0.02702702702702703,0.0,0.02702702702702703,0.13513513513513514,0.0,0.13513513513513514,0.08108108108108109,0.24324324324324326,0.0,0.02702702702702703
