Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,2,42,0,14,3,0,2,48,56,50,0,6,0,9,3,143,1,29,2,35,8,5,10,13,5
Agricultural and Environmental Plant Sciences,20,17,1,168,5,3,19,13,24,12,14,1,28,1,58,14,12,4,2,2,7,6,25,5,26
Agricultural Business,13,7,1,62,3,0,6,26,16,11,12,3,0,1,70,4,7,3,0,1,7,19,22,5,26
Agricultural Communication,13,12,0,48,32,0,9,13,12,8,7,4,6,0,50,3,0,4,0,2,5,12,15,6,18
Agricultural Science,27,20,2,148,17,1,9,34,19,20,22,2,1,3,137,16,9,3,0,1,6,29,51,11,57
Agricultural Systems Management,9,35,0,58,10,4,8,31,37,36,6,7,1,2,80,35,7,3,0,4,13,13,44,13,60
Animal Science,20,16,12,139,11,3,94,61,52,44,59,6,9,6,209,15,10,16,1,7,15,31,22,26,62
Anthropology and Geography,75,10,1,35,14,8,11,17,17,26,12,14,7,1,20,2,17,0,2,2,5,36,12,12,107
Architectural Engineering,2,15,0,1,3,0,1,23,68,23,0,1,0,1,0,6,1,9,0,12,5,2,8,6,4
Architecture,12,1,1,3,5,0,0,2,63,4,1,0,1,0,5,5,3,9,0,1,0,1,2,3,8
Art and Design,103,18,1,13,48,9,0,15,13,25,0,3,6,2,3,9,11,4,2,1,0,6,1,5,4
Biochemistry,1,5,20,4,5,0,96,25,38,22,8,7,0,0,2,1,0,12,0,6,6,0,3,15,8
Biological Sciences,41,27,51,39,22,11,101,39,50,56,48,16,5,0,23,10,24,24,0,7,23,9,22,9,94
Biomedical Engineering,2,42,2,7,14,0,48,48,69,48,5,6,1,0,7,20,3,29,3,19,12,3,3,10,9
BioResource and Agricultural Engineering,6,28,0,20,6,3,18,17,30,23,3,2,0,0,15,29,4,11,0,11,7,9,25,7,26
Business Administration,14,10,0,8,5,0,0,38,13,12,1,4,2,2,10,4,4,2,0,0,9,42,0,4,0
Chemistry,1,20,20,4,4,0,72,23,31,20,2,8,3,0,1,4,0,15,0,15,9,0,3,15,6
Child Development,23,3,46,0,5,1,18,3,5,4,4,17,1,0,0,0,1,1,0,1,4,1,0,3,11
City and Regional Planning,107,16,6,24,19,10,2,49,43,48,6,12,4,1,23,11,15,7,0,2,16,38,15,10,148
Civil Engineering,3,24,2,11,2,0,11,19,56,23,0,1,1,0,8,17,4,17,3,16,5,4,72,5,28
Communication Studies,32,1,4,1,12,0,0,9,8,12,0,1,2,0,1,2,4,0,0,1,4,3,1,2,4
Comparative Ethnic Studies,412,8,31,15,16,14,3,45,43,57,16,13,18,14,6,11,83,1,10,2,7,81,8,10,63
Computer Engineering,5,88,1,14,19,3,3,39,45,41,3,9,10,5,14,15,4,25,10,24,5,3,2,12,10
Computer Science,10,234,9,30,33,2,34,52,70,55,3,12,31,11,36,32,12,26,6,25,37,12,3,27,18
Construction Management,5,5,5,12,5,0,2,24,80,17,2,3,0,2,12,5,1,5,0,2,5,14,10,3,14
Dairy Science,4,11,3,62,9,1,33,20,21,13,24,1,4,3,133,8,4,5,0,4,9,20,6,11,15
Economics,3,21,0,1,2,0,0,18,8,7,0,1,2,1,0,3,1,2,1,3,8,27,0,1,0
Electrical Engineering,2,223,0,27,60,11,20,90,106,102,3,8,16,18,39,84,14,49,12,70,14,19,8,21,19
