Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
English,50,2,4,4,4,2,0,8,7,12,0,0,53,0,1,0,22,0,6,0,2,2,0,12,2
Environmental Earth and Soil Sciences,81,48,7,194,24,13,27,43,52,52,18,12,10,3,97,33,18,10,0,7,13,32,216,18,254
Environmental Engineering,2,19,1,12,7,0,21,15,28,17,8,1,0,1,10,21,4,10,0,14,11,6,31,10,37
Environmental Management and Protection,93,38,7,209,22,13,37,49,53,57,20,9,6,3,110,22,15,8,0,5,17,37,191,18,269
Food Science,12,8,3,32,5,0,25,13,18,11,14,5,1,2,119,9,7,6,0,4,7,3,9,8,18
Forest and Fire Sciences,90,40,7,220,23,13,32,42,48,50,22,10,6,3,121,24,16,8,0,4,14,40,221,21,288
General Engineering,0,17,0,6,4,0,23,23,41,25,0,2,2,2,3,9,0,13,0,18,9,2,4,5,2
Graphic Communication,9,45,0,34,120,46,2,30,19,20,4,8,3,1,35,7,7,5,0,2,8,9,1,3,18
History,91,0,0,0,0,0,0,7,7,9,0,0,20,0,0,1,9,0,3,0,0,17,0,6,3
Industrial Engineering,19,83,4,30,14,16,10,74,78,78,2,17,3,4,28,38,19,19,1,20,21,22,7,7,34
Industrial Technology and Packaging,1,11,0,9,4,0,1,7,4,2,1,2,0,1,18,4,3,3,0,2,7,3,0,4,4
Interdisciplinary Studies,39,4,3,0,4,0,0,4,3,4,0,0,1,0,0,1,4,0,0,2,13,4,0,2,0
Journalism,16,12,1,14,45,1,0,11,6,7,0,1,14,1,5,3,13,2,0,4,13,12,0,2,2
Kinesiology,43,11,28,6,19,5,29,20,18,27,135,14,4,4,6,7,17,3,1,10,10,5,1,20,29
Landscape Architecture,14,9,10,10,10,4,3,5,13,8,3,1,1,0,7,2,3,3,0,2,4,1,7,4,20
Liberal Arts and Engineering Studies,22,71,1,19,46,14,1,33,39,37,1,4,10,7,16,23,6,10,4,12,9,4,5,9,10
Liberal Studies,169,11,112,27,18,4,47,26,37,30,36,21,21,5,12,5,54,27,5,7,2,23,7,24,31
Manufacturing Engineering,17,75,0,33,20,15,14,73,81,77,2,18,2,4,36,39,19,20,1,18,14,24,7,11,33
Marine Sciences,23,27,34,27,14,17,65,31,41,47,8,16,4,2,16,8,27,19,0,10,19,9,16,10,65
Materials Engineering,1,26,19,12,17,4,19,40,62,37,3,7,2,5,20,11,7,15,0,17,9,11,4,15,15
Mathematics,2,34,6,6,0,0,5,35,42,36,0,1,10,4,8,11,6,65,22,46,35,7,4,8,2
Mechanical Engineering,2,68,3,21,25,2,8,45,64,62,0,7,2,7,16,54,18,17,1,23,12,3,15,17,18
Microbiology,6,27,2,30,6,1,92,26,37,30,33,3,2,1,55,13,8,12,0,5,14,4,10,6,24
Music,9,2,4,3,2,0,0,4,8,26,0,1,5,127,1,0,15,0,0,1,0,0,0,6,0
Nutrition,27,7,23,16,8,4,71,27,32,24,83,11,4,5,25,5,9,17,0,6,7,10,1,6,22
Philosophy,23,2,4,0,11,2,1,9,9,9,2,3,1,0,0,4,2,2,6,0,0,0,0,8,9
Physics,11,4,0,0,6,4,4,13,17,18,0,6,0,0,0,2,4,11,0,42,0,0,0,4,4
Political Science,117,9,6,8,9,1,1,31,15,16,2,2,5,0,6,12,16,3,0,1,9,24,4,1,12
Public Health,102,15,25,14,26,3,38,28,30,26,143,8,48,2,14,8,11,8,4,3,18,8,4,14,52
Psychology,94,6,38,2,7,3,21,11,10,14,13,10,7,0,3,6,9,3,0,1,4,5,0,1,11
"Recreation, Parks, and Tourism Administration",91,10,16,58,33,9,2,60,35,51,24,20,5,2,66,6,23,6,0,2,13,37,5,11,71
Sociology,127,3,27,13,17,0,1,34,26,31,4,9,4,1,8,7,9,1,1,1,8,13,1,6,11
Software Engineering,5,197,12,24,22,2,36,48,66,48,3,8,28,7,35,29,11,25,0,29,34,9,2,24,20
Spanish,200,2,31,3,14,9,0,31,38,52,9,12,79,10,0,2,59,0,67,0,1,44,0,7,31
Statistics,1,30,0,3,2,0,0,23,26,25,0,3,7,2,6,9,4,20,5,17,40,0,1,1,0
Theatre Arts,11,4,1,8,3,11,0,7,25,16,0,2,3,13,2,0,13,0,1,0,2,1,1,3,0
Wine and Viticulture,24,7,0,82,16,1,38,43,31,21,11,7,35,1,55,5,8,5,3,2,10,38,14,5,24
Accounting,0,3,0,1,1,1,0,12,1,1,0,0,0,0,2,4,1,0,0,0,0,31,1,0,0
Consumer Packaging,1,3,0,3,3,3,0,6,3,2,1,0,0,0,7,1,0,1,0,0,3,2,0,2,5
Entrepreneurship,9,4,1,1,9,0,0,17,7,4,0,6,0,0,6,0,4,0,0,0,1,6,0,0,4
"Ethics, Law and Social Justice",53,6,1,0,6,1,1,8,9,9,1,0,0,0,0,7,4,1,0,0,1,9,0,0,5
Financial Management,1,14,0,8,3,2,0,14,12,7,0,0,1,0,8,5,3,3,1,3,6,54,1,1,0
Global Citizenship and Social Sustainability,123,0,2,13,19,12,0,10,16,22,1,14,2,0,8,2,28,0,1,0,2,37,4,0,60
Health and Society,118,9,27,14,24,14,15,4,10,18,35,20,2,0,8,7,15,4,0,1,1,11,0,7,61
Industrial Technology,2,6,1,13,8,4,0,19,7,5,1,4,0,2,14,5,4,0,0,0,2,7,0,2,7
Information Systems,1,10,2,7,1,0,0,11,4,3,0,0,1,1,7,1,0,0,0,0,1,0,1,1,3
Management and Human Resources,5,1,2,6,8,0,0,16,7,5,0,5,0,7,6,1,0,1,0,0,0,1,0,3,10
Marketing Management,3,4,0,2,7,0,0,9,3,8,0,0,0,0,6,0,2,0,0,0,2,1,0,2,0
Packaging Technology,0,1,0,2,1,3,0,6,2,3,1,0,0,0,14,1,2,0,0,0,2,2,0,2,2
Quantitative Analysis,0,15,0,1,0,0,0,22,19,19,0,0,2,1,3,5,1,27,9,29,24,8,1,1,0
Real Estate Finance,0,4,0,8,1,2,0,7,8,6,0,0,0,0,7,1,2,0,1,2,3,13,4,0,8
"Science, Technology and Society",74,7,2,12,47,15,1,3,8,18,7,22,3,0,7,3,16,1,3,0,0,15,0,3,71
Visual Media and Cultural Studies,107,3,0,8,13,6,0,16,18,25,0,0,10,14,0,2,22,0,9,1,0,3,1,3,1
"Bioinformatics, Cross Disciplinary Studies",0,19,0,2,1,0,31,11,16,13,0,2,2,2,2,2,2,1,0,1,2,0,0,2,1
"Data Science, Cross Disciplinary Studies",0,20,3,4,0,0,0,11,12,11,0,2,5,2,4,3,0,5,0,11,13,0,0,1,0
"Heavy Civil, Cross Disciplinary Studies",0,5,0,11,1,0,0,4,40,4,0,0,0,1,7,0,0,0,0,0,0,3,2,0,2
