Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,0.09473684210526316,0.4421052631578947,0.6526315789473685,0.5052631578947369,0.0,0.09473684210526316,0.07368421052631578,0.12631578947368421,0.15789473684210525,0.7368421052631579,2.1578947368421053,0.042105263157894736,0.631578947368421,0.031578947368421054,0.06315789473684211,0.12631578947368421,0.07368421052631578,0.35789473684210527,0.010526315789473684,0.09473684210526316,0.042105263157894736,0.6842105263157895,0.14736842105263157,0.14736842105263157,0.4105263157894737,0.05263157894736842,0.08421052631578947,0.06315789473684211,0.2,0.031578947368421054
Agricultural and Environmental Plant Sciences,0.24705882352941178,0.23529411764705882,2.4941176470588236,0.21176470588235294,0.15294117647058825,0.011764705882352941,0.4470588235294118,0.16470588235294117,0.8352941176470589,0.18823529411764706,0.17647058823529413,0.011764705882352941,0.17647058823529413,0.4117647058823529,1.0470588235294118,0.023529411764705882,0.07058823529411765,0.047058823529411764,0.1411764705882353,0.047058823529411764,0.12941176470588237,0.023529411764705882,0.29411764705882354,0.047058823529411764,0.07058823529411765,0.5647058823529412,0.17647058823529413,0.07058823529411765,0.5764705882352941,0.18823529411764706
Agricultural Business,0.4444444444444444,0.15555555555555556,2.4,0.6222222222222222,0.06666666666666667,0.022222222222222223,0.4222222222222222,0.28888888888888886,1.0222222222222221,0.4666666666666667,0.08888888888888889,0.06666666666666667,0.3333333333333333,0.06666666666666667,1.8666666666666667,0.06666666666666667,0.5333333333333333,0.08888888888888889,0.15555555555555556,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.4888888888888889,0.13333333333333333,0.1111111111111111,0.6888888888888889,0.08888888888888889,0.1111111111111111,0.4,0.28888888888888886
Agricultural Communication,0.45454545454545453,0.2727272727272727,1.8181818181818181,0.4090909090909091,0.06818181818181818,0.0,0.5681818181818182,0.25,0.8636363636363636,0.3181818181818182,0.06818181818181818,0.11363636363636363,0.3409090909090909,0.20454545454545456,1.4318181818181819,0.11363636363636363,0.2727272727272727,0.09090909090909091,0.0,0.045454545454545456,0.9772727272727273,0.045454545454545456,0.3409090909090909,0.5454545454545454,0.11363636363636363,0.5227272727272727,0.09090909090909091,0.1590909090909091,0.3181818181818182,0.22727272727272727
Agricultural Science,0.35514018691588783,0.19626168224299065,1.97196261682243,0.3364485981308411,0.04672897196261682,0.028037383177570093,0.21495327102803738,0.2523364485981308,1.205607476635514,0.205607476635514,0.21495327102803738,0.028037383177570093,0.17757009345794392,0.04672897196261682,1.7102803738317758,0.08411214953271028,0.308411214953271,0.037383177570093455,0.1308411214953271,0.037383177570093455,0.19626168224299065,0.04672897196261682,0.5046728971962616,0.16822429906542055,0.056074766355140186,0.8691588785046729,0.04672897196261682,0.06542056074766354,0.5420560747663551,0.22429906542056074
Agricultural Systems Management,0.24691358024691357,0.43209876543209874,1.345679012345679,0.38271604938271603,0.12345679012345678,0.024691358024691357,0.25925925925925924,0.12345679012345678,1.1851851851851851,0.4444444444444444,0.7654320987654321,0.04938271604938271,0.43209876543209874,0.07407407407407407,1.2345679012345678,0.012345679012345678,0.2222222222222222,0.09876543209876543,0.08641975308641975,0.07407407407407407,0.1728395061728395,0.19753086419753085,0.5802469135802469,0.19753086419753085,0.345679012345679,0.3950617283950617,0.14814814814814814,0.18518518518518517,0.5061728395061729,0.4567901234567901
Animal Science,0.16831683168316833,0.0891089108910891,1.0891089108910892,0.3465346534653465,0.09405940594059406,0.0297029702970297,0.7821782178217822,0.43564356435643564,0.7920792079207921,0.2524752475247525,0.14356435643564355,0.019801980198019802,0.23267326732673269,0.12871287128712872,1.301980198019802,0.09405940594059406,0.17326732673267325,0.09405940594059406,0.04950495049504951,0.024752475247524754,0.06435643564356436,0.09900990099009901,0.11386138613861387,0.06930693069306931,0.1188118811881188,0.6039603960396039,0.10396039603960396,0.11386138613861387,0.4752475247524752,0.21287128712871287
Anthropology and Geography,1.7384615384615385,0.2,0.8769230769230769,0.26153846153846155,0.23076923076923078,0.015384615384615385,0.3384615384615385,0.3230769230769231,3.246153846153846,0.2923076923076923,0.16923076923076924,0.23076923076923078,0.4307692307692308,0.12307692307692308,0.49230769230769234,0.2,0.5538461538461539,0.015384615384615385,0.26153846153846155,0.046153846153846156,0.24615384615384617,0.13846153846153847,0.8615384615384616,0.12307692307692308,0.015384615384615385,0.23076923076923078,0.06153846153846154,0.4153846153846154,0.23076923076923078,0.3230769230769231
Architectural Engineering,0.08163265306122448,0.30612244897959184,0.4897959183673469,0.46938775510204084,0.0,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.12244897959183673,0.6938775510204082,0.4489795918367347,0.0,0.5510204081632653,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.2653061224489796,0.02040816326530612,0.04081632653061224,0.08163265306122448,0.5306122448979592,0.22448979591836735,0.10204081632653061,0.22448979591836735,0.0,0.9387755102040817,0.061224489795918366,0.9795918367346939,0.04081632653061224
Architecture,0.3783783783783784,0.05405405405405406,0.13513513513513514,0.05405405405405406,0.0,0.0,0.02702702702702703,0.08108108108108109,0.4594594594594595,0.05405405405405406,0.2702702702702703,0.0,0.08108108108108109,0.05405405405405406,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.32432432432432434,0.08108108108108109,0.0,0.1891891891891892,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.10810810810810811,0.05405405405405406,1.135135135135135,0.05405405405405406,1.6756756756756757,0.08108108108108109
