Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Aerospace Engineering,0.021052631578947368,0.35789473684210527,0.042105263157894736,0.010526315789473684,0.0,0.09473684210526316,0.021052631578947368,0.0,0.021052631578947368,0.05263157894736842,1.0421052631578946,0.0,0.08421052631578947,0.0,0.0,0.031578947368421054,0.0,0.10526315789473684,0.0,0.0,0.0,0.08421052631578947,0.11578947368421053,0.06315789473684211,0.15789473684210525,0.0,0.05263157894736842,0.0,0.021052631578947368,0.010526315789473684
Agricultural and Environmental Plant Sciences,0.21176470588235294,0.15294117647058825,0.9411764705882353,0.03529411764705882,0.047058823529411764,0.011764705882352941,0.1411764705882353,0.12941176470588237,0.17647058823529413,0.011764705882352941,0.15294117647058825,0.0,0.011764705882352941,0.16470588235294117,0.2235294117647059,0.011764705882352941,0.07058823529411765,0.011764705882352941,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.0,0.29411764705882354,0.023529411764705882,0.0,0.1411764705882353,0.011764705882352941,0.011764705882352941,0.11764705882352941,0.03529411764705882
Agricultural Business,0.24444444444444444,0.13333333333333333,0.8,0.2222222222222222,0.0,0.022222222222222223,0.06666666666666667,0.26666666666666666,0.28888888888888886,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,1.0222222222222221,0.0,0.37777777777777777,0.0,0.1111111111111111,0.0,0.0,0.0,0.4888888888888889,0.1111111111111111,0.0,0.28888888888888886,0.0,0.0,0.044444444444444446,0.06666666666666667
Agricultural Communication,0.22727272727272727,0.09090909090909091,0.7045454545454546,0.11363636363636363,0.0,0.0,0.11363636363636363,0.1590909090909091,0.13636363636363635,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.7272727272727273,0.022727272727272728,0.20454545454545456,0.022727272727272728,0.0,0.0,0.25,0.0,0.3409090909090909,0.11363636363636363,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.0,0.022727272727272728,0.045454545454545456
Agricultural Science,0.14953271028037382,0.1308411214953271,0.5981308411214953,0.1308411214953271,0.009345794392523364,0.028037383177570093,0.04672897196261682,0.18691588785046728,0.2803738317757009,0.018691588785046728,0.11214953271028037,0.0,0.0,0.0,0.5607476635514018,0.018691588785046728,0.2523364485981308,0.009345794392523364,0.0,0.0,0.028037383177570093,0.0,0.4672897196261682,0.06542056074766354,0.009345794392523364,0.17757009345794392,0.009345794392523364,0.009345794392523364,0.018691588785046728,0.009345794392523364
Agricultural Systems Management,0.07407407407407407,0.32098765432098764,0.345679012345679,0.12345679012345678,0.04938271604938271,0.024691358024691357,0.024691358024691357,0.037037037037037035,0.35802469135802467,0.037037037037037035,0.2962962962962963,0.0,0.12345679012345678,0.0,0.5555555555555556,0.012345679012345678,0.14814814814814814,0.0,0.024691358024691357,0.0,0.037037037037037035,0.012345679012345678,0.5185185185185185,0.07407407407407407,0.07407407407407407,0.04938271604938271,0.024691358024691357,0.012345679012345678,0.13580246913580246,0.19753086419753085
Animal Science,0.0594059405940594,0.06930693069306931,0.27722772277227725,0.12376237623762376,0.01485148514851485,0.0297029702970297,0.24257425742574257,0.26732673267326734,0.19801980198019803,0.034653465346534656,0.0594059405940594,0.0,0.019801980198019802,0.024752475247524754,0.3564356435643564,0.01485148514851485,0.1485148514851485,0.009900990099009901,0.019801980198019802,0.0049504950495049506,0.0,0.0049504950495049506,0.11386138613861387,0.01485148514851485,0.034653465346534656,0.10396039603960396,0.0049504950495049506,0.019801980198019802,0.024752475247524754,0.024752475247524754
Anthropology and Geography,0.6307692307692307,0.046153846153846156,0.3076923076923077,0.06153846153846154,0.12307692307692308,0.0,0.06153846153846154,0.15384615384615385,1.0153846153846153,0.015384615384615385,0.015384615384615385,0.0,0.015384615384615385,0.046153846153846156,0.09230769230769231,0.03076923076923077,0.3384615384615385,0.0,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.4307692307692308,0.015384615384615385,0.0,0.0,0.0,0.16923076923076924,0.046153846153846156,0.0
Architectural Engineering,0.02040816326530612,0.1836734693877551,0.02040816326530612,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.08163265306122448,0.0,0.0,0.02040816326530612,0.08163265306122448,0.1836734693877551,0.04081632653061224,0.061224489795918366,0.0,0.5102040816326531,0.04081632653061224,0.6938775510204082,0.02040816326530612
Architecture,0.1891891891891892,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.16216216216216217,0.0,0.0,0.0,0.0,0.02702702702702703,0.08108108108108109,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.7027027027027027,0.02702702702702703,1.3243243243243243,0.05405405405405406
