Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,0.021052631578947368,0.4105263157894737,0.14736842105263157,0.5052631578947369,0.0,0.09473684210526316,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.08421052631578947,1.7263157894736842,0.010526315789473684,0.5894736842105263,0.0,0.05263157894736842,0.09473684210526316,0.05263157894736842,0.3157894736842105,0.010526315789473684,0.0,0.4842105263157895,0.031578947368421054,0.12631578947368421,0.29473684210526313,0.08421052631578947
Agricultural and Environmental Plant Sciences,0.23529411764705882,0.17647058823529413,1.9529411764705882,0.12941176470588237,0.1411764705882353,0.011764705882352941,0.3058823529411765,0.16470588235294117,0.07058823529411765,0.7764705882352941,0.17647058823529413,0.011764705882352941,0.10588235294117647,0.32941176470588235,0.7411764705882353,0.023529411764705882,0.07058823529411765,0.03529411764705882,0.1411764705882353,0.023529411764705882,0.023529411764705882,0.07058823529411765,0.29411764705882354,0.023529411764705882,0.023529411764705882
Agricultural Business,0.28888888888888886,0.13333333333333333,1.4444444444444444,0.4888888888888889,0.06666666666666667,0.022222222222222223,0.2,0.28888888888888886,0.17777777777777778,0.8666666666666667,0.08888888888888889,0.06666666666666667,0.3111111111111111,0.0,1.5555555555555556,0.044444444444444446,0.4666666666666667,0.06666666666666667,0.15555555555555556,0.0,0.022222222222222223,0.06666666666666667,0.4888888888888889,0.044444444444444446,0.13333333333333333
Agricultural Communication,0.29545454545454547,0.2727272727272727,1.1818181818181819,0.29545454545454547,0.06818181818181818,0.0,0.2727272727272727,0.25,0.09090909090909091,0.6590909090909091,0.06818181818181818,0.09090909090909091,0.29545454545454547,0.13636363636363635,1.1136363636363635,0.09090909090909091,0.2727272727272727,0.06818181818181818,0.0,0.0,0.045454545454545456,0.7727272727272727,0.3409090909090909,0.06818181818181818,0.5454545454545454
Agricultural Science,0.2523364485981308,0.17757009345794392,1.4672897196261683,0.27102803738317754,0.04672897196261682,0.028037383177570093,0.11214953271028037,0.2523364485981308,0.07476635514018691,1.02803738317757,0.17757009345794392,0.018691588785046728,0.1588785046728972,0.009345794392523364,1.3925233644859814,0.08411214953271028,0.2897196261682243,0.018691588785046728,0.08411214953271028,0.0,0.04672897196261682,0.16822429906542055,0.4953271028037383,0.009345794392523364,0.1588785046728972
Agricultural Systems Management,0.1111111111111111,0.3950617283950617,0.7160493827160493,0.37037037037037035,0.12345679012345678,0.024691358024691357,0.16049382716049382,0.08641975308641975,0.12345679012345678,1.037037037037037,0.6419753086419753,0.024691358024691357,0.4074074074074074,0.012345679012345678,1.0740740740740742,0.012345679012345678,0.1728395061728395,0.037037037037037035,0.08641975308641975,0.0,0.1728395061728395,0.14814814814814814,0.5308641975308642,0.16049382716049382,0.13580246913580246
Animal Science,0.09900990099009901,0.07920792079207921,0.7425742574257426,0.29207920792079206,0.09405940594059406,0.0297029702970297,0.5148514851485149,0.38613861386138615,0.08415841584158416,0.6831683168316832,0.09900990099009901,0.019801980198019802,0.18316831683168316,0.04455445544554455,0.9851485148514851,0.08415841584158416,0.15841584158415842,0.07425742574257425,0.04950495049504951,0.0049504950495049506,0.07920792079207921,0.054455445544554455,0.11386138613861387,0.039603960396039604,0.0297029702970297
Anthropology and Geography,1.2307692307692308,0.15384615384615385,0.5384615384615384,0.26153846153846155,0.23076923076923078,0.0,0.18461538461538463,0.2923076923076923,0.046153846153846156,2.1846153846153844,0.07692307692307693,0.18461538461538463,0.4307692307692308,0.1076923076923077,0.3076923076923077,0.09230769230769231,0.5538461538461539,0.0,0.26153846153846155,0.046153846153846156,0.12307692307692308,0.2,0.8461538461538461,0.0,0.09230769230769231
Architectural Engineering,0.04081632653061224,0.30612244897959184,0.02040816326530612,0.46938775510204084,0.0,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.16326530612244897,0.08163265306122448,0.32653061224489793,0.0,0.4897959183673469,0.0,0.0,0.0,0.04081632653061224,0.1836734693877551,0.02040816326530612,0.0,0.3673469387755102,0.08163265306122448,0.20408163265306123,0.10204081632653061,0.08163265306122448
Architecture,0.32432432432432434,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.0,0.0,0.02702702702702703,0.08108108108108109,0.0,0.2702702702702703,0.1891891891891892,0.0,0.08108108108108109,0.02702702702702703,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.08108108108108109,0.0,0.10810810810810811,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.13513513513513514
Art and Design,1.1931818181818181,0.20454545454545456,0.1590909090909091,0.17045454545454544,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.0,0.06818181818181818,0.10227272727272728,0.011363636363636364,0.26136363636363635,0.06818181818181818,0.03409090909090909,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.125,0.022727272727272728,0.011363636363636364,0.6477272727272727,0.011363636363636364,0.011363636363636364,0.14772727272727273
Biochemistry,0.013157894736842105,0.06578947368421052,0.05263157894736842,0.34210526315789475,0.06578947368421052,0.0,1.3421052631578947,0.11842105263157894,0.06578947368421052,0.10526315789473684,0.11842105263157894,0.07894736842105263,0.4605263157894737,0.0,0.02631578947368421,0.2894736842105263,0.0,0.15789473684210525,0.0,0.0,0.13157894736842105,0.05263157894736842,0.039473684210526314,0.21052631578947367,0.013157894736842105
Biological Sciences,0.2887323943661972,0.19014084507042253,0.2746478873239437,0.2746478873239437,0.21830985915492956,0.0,0.7464788732394366,0.3591549295774648,0.176056338028169,0.8732394366197183,0.14788732394366197,0.11971830985915492,0.4225352112676056,0.035211267605633804,0.15492957746478872,0.3591549295774648,0.06338028169014084,0.176056338028169,0.16901408450704225,0.0,0.08450704225352113,0.15492957746478872,0.30985915492957744,0.014084507042253521,0.056338028169014086
