Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Aerospace Engineering,0.10526315789473684,1.0,0.6631578947368421,0.5052631578947369,0.021052631578947368,0.09473684210526316,0.07368421052631578,0.12631578947368421,0.8,0.16842105263157894,2.6842105263157894,0.042105263157894736,0.6631578947368421,0.15789473684210525,0.10526315789473684,0.18947368421052632,0.09473684210526316,0.5263157894736842,0.010526315789473684,0.16842105263157894,0.7789473684210526,0.042105263157894736,0.4631578947368421,0.5263157894736842,0.15789473684210525
Agricultural and Environmental Plant Sciences,0.29411764705882354,0.32941176470588235,2.611764705882353,0.21176470588235294,0.21176470588235294,0.011764705882352941,0.5176470588235295,0.18823529411764706,0.21176470588235294,0.8941176470588236,0.3176470588235294,0.023529411764705882,0.17647058823529413,0.4117647058823529,1.1176470588235294,0.12941176470588237,0.09411764705882353,0.047058823529411764,0.1411764705882353,0.12941176470588237,0.023529411764705882,0.1411764705882353,0.4588235294117647,0.08235294117647059,0.058823529411764705
Agricultural Business,0.5111111111111111,0.4,2.466666666666667,0.6222222222222222,0.24444444444444444,0.022222222222222223,0.5333333333333333,0.35555555555555557,0.5111111111111111,1.0888888888888888,0.3333333333333333,0.1111111111111111,0.37777777777777777,0.08888888888888889,2.1333333333333333,0.3333333333333333,0.5777777777777777,0.13333333333333333,0.15555555555555556,0.26666666666666666,0.022222222222222223,0.08888888888888889,0.6,0.1111111111111111,0.13333333333333333
Agricultural Communication,0.4772727272727273,0.4318181818181818,1.8409090909090908,0.4090909090909091,0.3181818181818182,0.0,0.7272727272727273,0.3181818181818182,0.38636363636363635,0.8863636363636364,0.22727272727272727,0.1590909090909091,0.38636363636363635,0.25,1.6136363636363635,0.4090909090909091,0.36363636363636365,0.11363636363636363,0.0,0.22727272727272727,0.045454545454545456,0.9772727272727273,0.4318181818181818,0.11363636363636363,0.5454545454545454
Agricultural Science,0.4205607476635514,0.35514018691588783,2.05607476635514,0.3364485981308411,0.102803738317757,0.028037383177570093,0.2616822429906542,0.2897196261682243,0.24299065420560748,1.2616822429906542,0.4672897196261682,0.06542056074766354,0.21495327102803738,0.06542056074766354,1.925233644859813,0.16822429906542055,0.3364485981308411,0.037383177570093455,0.17757009345794392,0.1588785046728972,0.056074766355140186,0.205607476635514,0.6355140186915887,0.102803738317757,0.22429906542056074
Agricultural Systems Management,0.25925925925925924,0.7901234567901234,1.382716049382716,0.38271604938271603,0.19753086419753085,0.024691358024691357,0.30864197530864196,0.12345679012345678,0.5185185185185185,1.271604938271605,1.123456790123457,0.07407407407407407,0.4444444444444444,0.1111111111111111,1.4197530864197532,0.2345679012345679,0.25925925925925924,0.16049382716049382,0.08641975308641975,0.14814814814814814,0.24691358024691357,0.1728395061728395,0.8395061728395061,0.5432098765432098,0.2716049382716049
Animal Science,0.1782178217821782,0.2376237623762376,1.1584158415841583,0.3465346534653465,0.17326732673267325,0.0297029702970297,0.9207920792079208,0.47029702970297027,0.2722772277227723,0.8366336633663366,0.31683168316831684,0.0891089108910891,0.26732673267326734,0.13366336633663367,1.6386138613861385,0.24752475247524752,0.2079207920792079,0.13366336633663367,0.04950495049504951,0.09900990099009901,0.11386138613861387,0.06435643564356436,0.22277227722772278,0.17326732673267325,0.12376237623762376
Anthropology and Geography,1.876923076923077,0.4,0.9846153846153847,0.26153846153846155,0.2923076923076923,0.015384615384615385,0.3384615384615385,0.36923076923076925,0.36923076923076925,3.5846153846153848,0.36923076923076925,0.24615384615384617,0.4307692307692308,0.46153846153846156,0.6923076923076923,0.3384615384615385,0.5692307692307692,0.03076923076923077,0.26153846153846155,0.2153846153846154,0.16923076923076924,0.24615384615384617,0.9076923076923077,0.1076923076923077,0.2
Architectural Engineering,0.10204081632653061,0.7755102040816326,0.5102040816326531,0.46938775510204084,0.04081632653061224,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.8163265306122449,0.12244897959183673,0.9183673469387755,0.0,0.5510204081632653,0.08163265306122448,0.14285714285714285,0.1836734693877551,0.061224489795918366,0.4897959183673469,0.02040816326530612,0.10204081632653061,0.6530612244897959,0.10204081632653061,0.2653061224489796,0.3469387755102041,0.10204081632653061
Architecture,0.4594594594594595,0.10810810810810811,0.16216216216216217,0.05405405405405406,0.0,0.0,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.4594594594594595,0.32432432432432434,0.0,0.10810810810810811,0.05405405405405406,0.2702702702702703,0.13513513513513514,0.02702702702702703,0.5675675675675675,0.08108108108108109,0.02702702702702703,0.10810810810810811,0.21621621621621623,0.16216216216216217,0.21621621621621623,0.13513513513513514
