Philosophy,15,2,0,1,2,0,0,2,0,4,3,0,0,0,0,0,0,0,1,6,0,0,0,0,0
Physics,6,2,0,0,4,0,3,0,0,4,0,0,1,0,0,0,0,6,0,0,17,2,0,10,3
Political Science,77,7,3,19,1,0,0,2,3,6,12,0,0,4,2,0,10,0,5,0,0,4,4,1,1
Public Health,36,9,7,15,3,2,21,109,11,24,7,1,2,27,7,6,5,1,3,4,0,15,2,3,2
Psychology,41,4,0,4,3,0,7,8,1,2,5,3,5,3,0,1,1,0,5,0,0,2,0,2,4
"Recreation, Parks, and Tourism Administration",45,6,10,33,9,2,0,10,5,54,5,0,9,1,26,3,21,1,11,0,0,11,9,0,20
Sociology,46,1,6,14,0,1,1,1,1,7,6,4,1,3,3,3,5,0,3,1,0,7,1,0,4
Software Engineering,2,110,4,4,2,7,25,1,28,10,23,0,10,26,5,9,4,9,2,0,5,13,1,11,9
Spanish,114,1,3,5,9,9,0,8,0,19,2,2,32,25,0,17,25,0,34,67,0,9,7,0,0
Statistics,1,21,0,0,0,2,0,0,31,0,7,0,3,5,3,0,0,11,3,0,2,1,1,0,4
Theatre Arts,7,2,6,1,4,12,0,0,2,0,0,0,9,2,0,1,1,0,8,1,0,1,0,1,1
Wine and Viticulture,15,5,43,22,1,1,25,7,1,10,5,0,5,17,23,3,24,1,3,3,1,4,14,0,2
Accounting,0,3,0,1,1,0,0,0,0,0,3,0,0,0,1,0,15,0,0,0,0,0,1,0,0
Consumer Packaging,1,1,0,4,1,0,0,0,1,5,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0
Entrepreneurship,1,4,0,15,0,0,0,0,1,2,0,0,8,0,6,0,4,0,4,0,0,2,0,0,3
"Ethics, Law and Social Justice",25,4,0,1,1,0,0,1,0,2,7,0,0,0,0,0,3,0,1,0,0,2,0,0,0
Financial Management,0,11,1,7,2,0,0,0,4,0,4,0,0,1,1,1,40,3,0,1,1,0,1,0,0
Global Citizenship and Social Sustainability,57,0,7,2,12,0,0,0,0,44,2,0,1,2,3,0,25,0,2,1,0,6,13,1,0
Health and Society,44,6,10,0,14,0,3,30,0,41,7,2,0,1,4,4,11,1,0,0,1,7,7,2,0
Industrial Technology,0,6,3,14,2,2,0,0,1,4,5,0,6,0,7,1,6,0,2,0,0,0,0,1,2
Information Systems,1,7,0,8,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4
Management and Human Resources,0,1,0,13,0,7,0,0,0,4,1,0,5,0,0,0,1,0,0,0,0,0,0,0,3
Marketing Management,1,1,0,6,0,0,0,0,1,0,0,0,2,0,4,0,0,0,2,0,0,5,0,0,0
Packaging Technology,0,1,1,5,2,0,0,0,1,1,1,0,1,0,12,1,1,0,1,0,0,0,0,1,1
Quantitative Analysis,0,14,0,4,0,1,0,0,21,0,1,0,1,1,2,0,7,19,0,0,10,0,1,1,3
Real Estate Finance,0,3,1,3,2,0,0,0,3,4,1,0,0,0,0,0,20,0,0,1,1,0,4,1,1
"Science, Technology and Society",38,4,6,1,15,0,0,6,0,53,3,0,1,2,2,2,13,1,1,3,0,14,7,0,0
Visual Media and Cultural Studies,74,1,8,0,6,14,0,0,0,0,1,0,11,3,0,2,1,0,15,9,1,6,1,0,0
"Bioinformatics, Cross Disciplinary Studies",0,11,0,1,0,2,21,0,2,0,2,0,4,2,0,0,0,0,2,0,0,0,0,0,2
"Data Science, Cross Disciplinary Studies",0,13,0,1,0,2,0,0,12,0,2,0,2,4,0,0,0,4,0,0,0,0,0,0,3
"Heavy Civil, Cross Disciplinary Studies",0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
