Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,0.021052631578947368,0.4105263157894737,1.6105263157894736,0.6421052631578947,0.5052631578947369,0.0,0.09473684210526316,0.07368421052631578,0.05263157894736842,0.21052631578947367,0.08421052631578947,0.010526315789473684,0.5894736842105263,0.0,0.05263157894736842,0.09473684210526316,0.05263157894736842,0.3157894736842105,0.010526315789473684,0.09473684210526316
Agricultural and Environmental Plant Sciences,0.23529411764705882,0.17647058823529413,0.10588235294117647,1.8941176470588235,0.12941176470588237,0.1411764705882353,0.011764705882352941,0.36470588235294116,0.16470588235294117,0.07058823529411765,0.7529411764705882,0.011764705882352941,0.10588235294117647,0.32941176470588235,0.7411764705882353,0.023529411764705882,0.07058823529411765,0.03529411764705882,0.1411764705882353,0.03529411764705882
Agricultural Business,0.28888888888888886,0.13333333333333333,0.24444444444444444,1.6666666666666667,0.4888888888888889,0.06666666666666667,0.022222222222222223,0.37777777777777777,0.28888888888888886,0.17777777777777778,0.9777777777777777,0.06666666666666667,0.3111111111111111,0.0,1.5555555555555556,0.044444444444444446,0.4666666666666667,0.06666666666666667,0.15555555555555556,0.022222222222222223
Agricultural Communication,0.29545454545454547,0.2727272727272727,0.1590909090909091,1.3409090909090908,0.29545454545454547,0.06818181818181818,0.0,0.5,0.25,0.09090909090909091,0.7727272727272727,0.09090909090909091,0.29545454545454547,0.13636363636363635,1.1136363636363635,0.09090909090909091,0.2727272727272727,0.06818181818181818,0.0,0.022727272727272728
Agricultural Science,0.2523364485981308,0.17757009345794392,0.22429906542056074,1.5794392523364487,0.27102803738317754,0.04672897196261682,0.028037383177570093,0.16822429906542055,0.2523364485981308,0.07476635514018691,1.0654205607476634,0.018691588785046728,0.1588785046728972,0.009345794392523364,1.3925233644859814,0.08411214953271028,0.2897196261682243,0.018691588785046728,0.08411214953271028,0.028037383177570093
Agricultural Systems Management,0.1111111111111111,0.3950617283950617,0.6790123456790124,0.9506172839506173,0.37037037037037035,0.12345679012345678,0.024691358024691357,0.2345679012345679,0.1111111111111111,0.12345679012345678,1.0617283950617284,0.024691358024691357,0.4074074074074074,0.012345679012345678,1.0740740740740742,0.012345679012345678,0.1728395061728395,0.037037037037037035,0.08641975308641975,0.037037037037037035
Animal Science,0.09900990099009901,0.07920792079207921,0.22277227722772278,0.8861386138613861,0.29207920792079206,0.09405940594059406,0.0297029702970297,0.5297029702970297,0.41089108910891087,0.08415841584158416,0.7128712871287128,0.019801980198019802,0.18316831683168316,0.04455445544554455,0.9851485148514851,0.08415841584158416,0.15841584158415842,0.07425742574257425,0.04950495049504951,0.01485148514851485
Anthropology and Geography,1.2307692307692308,0.15384615384615385,0.35384615384615387,0.7384615384615385,0.26153846153846155,0.23076923076923078,0.0,0.23076923076923078,0.3076923076923077,0.046153846153846156,2.3384615384615386,0.18461538461538463,0.4307692307692308,0.1076923076923077,0.3076923076923077,0.09230769230769231,0.5538461538461539,0.0,0.26153846153846155,0.046153846153846156
Architectural Engineering,0.04081632653061224,0.30612244897959184,0.8367346938775511,0.4897959183673469,0.46938775510204084,0.0,0.02040816326530612,0.08163265306122448,0.02040816326530612,0.16326530612244897,0.10204081632653061,0.0,0.4897959183673469,0.0,0.0,0.0,0.04081632653061224,0.1836734693877551,0.02040816326530612,0.04081632653061224
Architecture,0.32432432432432434,0.02702702702702703,0.1891891891891892,0.13513513513513514,0.05405405405405406,0.0,0.0,0.02702702702702703,0.08108108108108109,0.0,0.2702702702702703,0.0,0.08108108108108109,0.02702702702702703,0.13513513513513514,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.08108108108108109,0.0
Art and Design,1.1931818181818181,0.20454545454545456,0.10227272727272728,0.25,0.17045454545454544,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.0,0.09090909090909091,0.011363636363636364,0.26136363636363635,0.06818181818181818,0.03409090909090909,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.125,0.045454545454545456
Biochemistry,0.013157894736842105,0.06578947368421052,0.47368421052631576,0.3157894736842105,0.34210526315789475,0.06578947368421052,0.0,1.3157894736842106,0.17105263157894737,0.06578947368421052,0.10526315789473684,0.07894736842105263,0.4605263157894737,0.0,0.02631578947368421,0.2894736842105263,0.0,0.15789473684210525,0.0,0.0
Biological Sciences,0.2887323943661972,0.19014084507042253,0.38028169014084506,0.5211267605633803,0.2746478873239437,0.21830985915492956,0.0,0.795774647887324,0.39436619718309857,0.176056338028169,0.8732394366197183,0.11971830985915492,0.4225352112676056,0.035211267605633804,0.15492957746478872,0.3591549295774648,0.06338028169014084,0.176056338028169,0.16901408450704225,0.028169014084507043
Biomedical Engineering,0.02040816326530612,0.42857142857142855,0.9693877551020408,0.5,0.4897959183673469,0.07142857142857142,0.0,0.6530612244897959,0.07142857142857142,0.24489795918367346,0.12244897959183673,0.0,0.5204081632653061,0.01020408163265306,0.07142857142857142,0.04081632653061224,0.030612244897959183,0.2857142857142857,0.030612244897959183,0.15306122448979592
BioResource and Agricultural Engineering,0.09523809523809523,0.42857142857142855,1.126984126984127,0.5396825396825397,0.2698412698412698,0.1746031746031746,0.0,0.4126984126984127,0.07936507936507936,0.20634920634920634,0.6666666666666666,0.0,0.30158730158730157,0.0,0.3333333333333333,0.0,0.14285714285714285,0.1746031746031746,0.06349206349206349,0.07936507936507936
Business Administration,0.42424242424242425,0.2727272727272727,0.36363636363636365,0.696969696969697,1.0909090909090908,0.0,0.06060606060606061,0.06060606060606061,0.15151515151515152,0.24242424242424243,0.42424242424242425,0.030303030303030304,0.45454545454545453,0.06060606060606061,0.30303030303030304,0.09090909090909091,1.2727272727272727,0.06060606060606061,0.12121212121212122,0.030303030303030304
Chemistry,0.014492753623188406,0.2898550724637681,0.5507246376811594,0.3188405797101449,0.34782608695652173,0.057971014492753624,0.0,1.1884057971014492,0.10144927536231885,0.18840579710144928,0.08695652173913043,0.10144927536231885,0.4927536231884058,0.043478260869565216,0.014492753623188406,0.3188405797101449,0.0,0.21739130434782608,0.0,0.0
Child Development,0.5897435897435898,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.0,0.46153846153846156,0.358974358974359,0.05128205128205128,0.28205128205128205,0.4358974358974359,0.23076923076923078,0.02564102564102564,0.0,0.3076923076923077,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0
City and Regional Planning,0.9193548387096774,0.12903225806451613,0.3548387096774194,0.46774193548387094,0.45161290322580644,0.08870967741935484,0.008064516129032258,0.06451612903225806,0.13709677419354838,0.12903225806451613,1.6290322580645162,0.06451612903225806,0.3790322580645161,0.03225806451612903,0.18548387096774194,0.056451612903225805,0.3467741935483871,0.04838709677419355,0.12096774193548387,0.016129032258064516
Civil Engineering,0.04285714285714286,0.34285714285714286,1.042857142857143,0.42857142857142855,0.2714285714285714,0.07142857142857142,0.0,0.2571428571428571,0.07142857142857142,0.18571428571428572,0.5428571428571428,0.0,0.34285714285714286,0.014285714285714285,0.12857142857142856,0.02857142857142857,0.05714285714285714,0.2571428571428571,0.05714285714285714,0.12857142857142856
Communication Studies,1.2307692307692308,0.038461538461538464,0.2692307692307692,0.2692307692307692,0.34615384615384615,0.038461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.46153846153846156,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.0,0.15384615384615385,0.0
Comparative Ethnic Studies,2.7884615384615383,0.05128205128205128,0.30128205128205127,0.3269230769230769,0.28846153846153844,0.11538461538461539,0.10256410256410256,0.0641025641025641,0.14102564102564102,0.03205128205128205,0.6730769230769231,0.0641025641025641,0.34615384615384615,0.11538461538461539,0.038461538461538464,0.17307692307692307,0.5384615384615384,0.00641025641025641,0.532051282051282,0.0641025641025641
Computer Engineering,0.060240963855421686,0.9879518072289156,0.7831325301204819,0.6144578313253012,0.46987951807228917,0.03614457831325301,0.04819277108433735,0.2891566265060241,0.08433734939759036,0.21686746987951808,0.2289156626506024,0.024096385542168676,0.5903614457831325,0.12048192771084337,0.18072289156626506,0.04819277108433735,0.024096385542168676,0.3132530120481928,0.04819277108433735,0.024096385542168676
Computer Science,0.056818181818181816,1.3920454545454546,0.4772727272727273,0.4318181818181818,0.29545454545454547,0.03977272727272727,0.0625,0.29545454545454547,0.03977272727272727,0.3181818181818182,0.2556818181818182,0.011363636363636364,0.39204545454545453,0.17613636363636365,0.2159090909090909,0.16477272727272727,0.06818181818181818,0.13068181818181818,0.06818181818181818,0.10227272727272728
Construction Management,0.09259259259259259,0.09259259259259259,0.4444444444444444,0.46296296296296297,0.4444444444444444,0.0,0.037037037037037035,0.12962962962962962,0.09259259259259259,0.12962962962962962,0.5370370370370371,0.018518518518518517,0.3333333333333333,0.0,0.2222222222222222,0.09259259259259259,0.24074074074074073,0.1111111111111111,0.018518518518518517,0.07407407407407407
Dairy Science,0.0449438202247191,0.12359550561797752,0.16853932584269662,0.8651685393258427,0.19101123595505617,0.06741573033707865,0.033707865168539325,0.4943820224719101,0.34831460674157305,0.10112359550561797,0.4943820224719101,0.02247191011235955,0.12359550561797752,0.0449438202247191,1.5056179775280898,0.06741573033707865,0.23595505617977527,0.0449438202247191,0.0449438202247191,0.011235955056179775
Economics,0.15,1.0,0.4,0.4,0.9,0.0,0.05,0.0,0.1,0.5,0.55,0.05,0.4,0.1,0.0,0.05,1.3,0.1,0.05,0.05
Electrical Engineering,0.009302325581395349,0.9767441860465116,0.9534883720930233,0.5116279069767442,0.4186046511627907,0.06976744186046512,0.07441860465116279,0.19069767441860466,0.018604651162790697,0.22325581395348837,0.20930232558139536,0.009302325581395349,0.44651162790697674,0.07441860465116279,0.2186046511627907,0.04186046511627907,0.09302325581395349,0.22325581395348837,0.06511627906976744,0.05116279069767442
English,0.8333333333333334,0.03333333333333333,0.11666666666666667,0.18333333333333332,0.13333333333333333,0.08333333333333333,0.0,0.016666666666666666,0.0,0.03333333333333333,0.06666666666666667,0.0,0.43333333333333335,0.8833333333333333,0.016666666666666666,0.2833333333333333,0.03333333333333333,0.0,0.36666666666666664,0.1
Environmental Earth and Soil Sciences,0.3755656108597285,0.2171945701357466,0.29411764705882354,1.004524886877828,0.21266968325791855,0.12669683257918551,0.013574660633484163,0.19457013574660634,0.1493212669683258,0.058823529411764705,1.6063348416289593,0.049773755656108594,0.20361990950226244,0.04524886877828054,0.4660633484162896,0.049773755656108594,0.1493212669683258,0.049773755656108594,0.08144796380090498,0.049773755656108594
Environmental Engineering,0.03333333333333333,0.31666666666666665,0.9833333333333333,0.45,0.25,0.13333333333333333,0.0,0.45,0.2833333333333333,0.3,0.7666666666666667,0.0,0.3,0.0,0.2,0.016666666666666666,0.1,0.16666666666666666,0.06666666666666667,0.05
Environmental Management and Protection,0.42410714285714285,0.16964285714285715,0.26785714285714285,1.0580357142857142,0.24553571428571427,0.12946428571428573,0.013392857142857142,0.23214285714285715,0.15178571428571427,0.08035714285714286,1.7232142857142858,0.044642857142857144,0.19642857142857142,0.026785714285714284,0.5178571428571429,0.049107142857142856,0.16964285714285715,0.04017857142857143,0.06696428571428571,0.05803571428571429
Food Science,0.19696969696969696,0.12121212121212122,0.25757575757575757,0.6515151515151515,0.24242424242424243,0.09090909090909091,0.045454545454545456,0.6212121212121212,0.2727272727272727,0.09090909090909091,0.4090909090909091,0.07575757575757576,0.19696969696969696,0.015151515151515152,1.8181818181818181,0.015151515151515152,0.06060606060606061,0.10606060606060606,0.10606060606060606,0.015151515151515152
Forest and Fire Sciences,0.4125560538116592,0.17937219730941703,0.23318385650224216,1.0896860986547086,0.21524663677130046,0.13004484304932734,0.013452914798206279,0.21076233183856502,0.18385650224215247,0.06278026905829596,1.852017937219731,0.04932735426008968,0.17488789237668162,0.026905829596412557,0.5739910313901345,0.05829596412556054,0.18385650224215247,0.04035874439461883,0.07174887892376682,0.06726457399103139
General Engineering,0.0,0.3269230769230769,1.0576923076923077,0.5576923076923077,0.4423076923076923,0.057692307692307696,0.038461538461538464,0.7307692307692307,0.09615384615384616,0.2692307692307692,0.09615384615384616,0.038461538461538464,0.5192307692307693,0.038461538461538464,0.057692307692307696,0.0,0.038461538461538464,0.25,0.0,0.057692307692307696
Graphic Communication,0.13432835820895522,0.6567164179104478,0.13432835820895522,0.7313432835820896,0.47761194029850745,0.05970149253731343,0.029850746268656716,0.16417910447761194,0.04477611940298507,0.11940298507462686,0.6119402985074627,0.014925373134328358,0.3283582089552239,0.04477611940298507,0.5373134328358209,0.0,0.11940298507462686,0.05970149253731343,0.1044776119402985,0.014925373134328358
History,2.066666666666667,0.0,0.15555555555555556,0.13333333333333333,0.15555555555555556,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,0.0,0.17777777777777778,0.4444444444444444,0.0,0.13333333333333333,0.37777777777777777,0.0,0.2,0.06666666666666667
Industrial Engineering,0.18627450980392157,0.803921568627451,1.0294117647058822,0.9215686274509803,0.7058823529411765,0.17647058823529413,0.0392156862745098,0.18627450980392157,0.0392156862745098,0.38235294117647056,0.696078431372549,0.06862745098039216,0.8431372549019608,0.029411764705882353,0.29411764705882354,0.029411764705882353,0.24509803921568626,0.17647058823529413,0.18627450980392157,0.09803921568627451
Industrial Technology and Packaging,0.041666666666666664,0.4166666666666667,0.25,0.4583333333333333,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.20833333333333334,0.5416666666666666,0.0,0.16666666666666666,0.0,0.75,0.08333333333333333,0.125,0.125,0.125,0.125
Interdisciplinary Studies,2.1666666666666665,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.3333333333333333,0.0,0.2222222222222222,0.0
Journalism,0.34782608695652173,0.2608695652173913,0.1956521739130435,0.4782608695652174,0.2608695652173913,0.043478260869565216,0.021739130434782608,0.0,0.021739130434782608,0.2391304347826087,0.17391304347826086,0.021739130434782608,0.13043478260869565,0.30434782608695654,0.10869565217391304,0.06521739130434782,0.2608695652173913,0.043478260869565216,0.2826086956521739,0.0
Kinesiology,0.48314606741573035,0.12359550561797752,0.14606741573033707,0.16853932584269662,0.2247191011235955,0.21348314606741572,0.0449438202247191,0.34831460674157305,1.595505617977528,0.0449438202247191,0.38202247191011235,0.1348314606741573,0.3258426966292135,0.0449438202247191,0.06741573033707865,0.1348314606741573,0.056179775280898875,0.033707865168539325,0.19101123595505617,0.011235955056179775
Landscape Architecture,0.3333333333333333,0.2,0.08888888888888889,0.28888888888888886,0.1111111111111111,0.06666666666666667,0.0,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.5777777777777777,0.022222222222222223,0.17777777777777778,0.022222222222222223,0.15555555555555556,0.28888888888888886,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.022222222222222223
Liberal Arts and Engineering Studies,0.2682926829268293,0.8292682926829268,0.6707317073170732,0.5609756097560976,0.3902439024390244,0.036585365853658534,0.0975609756097561,0.07317073170731707,0.0,0.1951219512195122,0.2804878048780488,0.012195121951219513,0.43902439024390244,0.12195121951219512,0.23170731707317074,0.06097560975609756,0.04878048780487805,0.12195121951219512,0.07317073170731707,0.10975609756097561
Liberal Studies,1.10625,0.0625,0.28125,0.28125,0.1625,0.14375,0.03125,0.4625,0.30625,0.0375,0.31875,0.10625,0.31875,0.13125,0.075,0.625,0.14375,0.14375,0.3375,0.05
Manufacturing Engineering,0.14782608695652175,0.6434782608695652,1.008695652173913,0.8260869565217391,0.6260869565217392,0.1565217391304348,0.034782608695652174,0.2608695652173913,0.043478260869565216,0.24347826086956523,0.6260869565217392,0.06956521739130435,0.7304347826086957,0.017391304347826087,0.3391304347826087,0.008695652173913044,0.22608695652173913,0.16521739130434782,0.16521739130434782,0.09565217391304348
Marine Sciences,0.19491525423728814,0.2288135593220339,0.3983050847457627,0.4661016949152542,0.2796610169491525,0.2796610169491525,0.01694915254237288,0.8389830508474576,0.11864406779661017,0.19491525423728814,0.7966101694915254,0.13559322033898305,0.4152542372881356,0.03389830508474576,0.13559322033898305,0.3305084745762712,0.07627118644067797,0.16101694915254236,0.2288135593220339,0.00847457627118644
Materials Engineering,0.01,0.26,0.82,0.43,0.4,0.08,0.04,0.42,0.06,0.15,0.22,0.05,0.39,0.02,0.2,0.2,0.11,0.15,0.07,0.07
Mathematics,0.018518518518518517,0.2962962962962963,0.6203703703703703,0.3611111111111111,0.32407407407407407,0.037037037037037035,0.027777777777777776,0.12962962962962962,0.009259259259259259,0.5370370370370371,0.09259259259259259,0.009259259259259259,0.35185185185185186,0.09259259259259259,0.07407407407407407,0.06481481481481481,0.06481481481481481,0.6111111111111112,0.05555555555555555,0.05555555555555555
Mechanical Engineering,0.015873015873015872,0.5238095238095238,1.0396825396825398,0.5317460317460317,0.35714285714285715,0.07936507936507936,0.05555555555555555,0.21428571428571427,0.031746031746031744,0.1746031746031746,0.1746031746031746,0.047619047619047616,0.5317460317460317,0.015873015873015872,0.18253968253968253,0.031746031746031744,0.023809523809523808,0.1349206349206349,0.14285714285714285,0.11904761904761904
Microbiology,0.06382978723404255,0.2872340425531915,0.3404255319148936,0.5638297872340425,0.2765957446808511,0.20212765957446807,0.010638297872340425,0.9574468085106383,0.39361702127659576,0.14893617021276595,0.35106382978723405,0.031914893617021274,0.32978723404255317,0.02127659574468085,0.5851063829787234,0.031914893617021274,0.0425531914893617,0.13829787234042554,0.0851063829787234,0.010638297872340425
Music,0.15,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.06666666666666667,0.15,1.95,0.05,0.0,0.016666666666666666,0.0,0.0,0.45,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.0,0.0,0.25,0.0
Nutrition,0.2647058823529412,0.06862745098039216,0.2647058823529412,0.3235294117647059,0.27450980392156865,0.16666666666666666,0.058823529411764705,0.7647058823529411,1.0,0.058823529411764705,0.28431372549019607,0.11764705882352941,0.2647058823529412,0.0392156862745098,0.2549019607843137,0.09803921568627451,0.08823529411764706,0.16666666666666666,0.08823529411764706,0.0196078431372549
Philosophy,0.631578947368421,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.23684210526315788,0.07894736842105263,0.0,0.23684210526315788,0.15789473684210525,0.0,0.23684210526315788,0.07894736842105263,0.2894736842105263,0.02631578947368421,0.0,0.18421052631578946,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525
Physics,0.28205128205128205,0.10256410256410256,0.9487179487179487,0.3333333333333333,0.3333333333333333,0.1282051282051282,0.0,0.38461538461538464,0.05128205128205128,0.28205128205128205,0.10256410256410256,0.15384615384615385,0.5128205128205128,0.0,0.0,0.0,0.0,0.28205128205128205,0.10256410256410256,0.02564102564102564
Political Science,1.7375,0.1125,0.2125,0.25,0.4875,0.025,0.0,0.1375,0.15,0.0875,0.325,0.025,0.175,0.0625,0.075,0.025,0.3,0.0375,0.2,0.0
Public Health,0.9396551724137931,0.12931034482758622,0.13793103448275862,0.23275862068965517,0.2413793103448276,0.09482758620689655,0.017241379310344827,0.45689655172413796,1.3706896551724137,0.15517241379310345,0.5431034482758621,0.0603448275862069,0.1810344827586207,0.41379310344827586,0.1206896551724138,0.12931034482758622,0.06896551724137931,0.06896551724137931,0.09482758620689655,0.034482758620689655
Psychology,1.719298245614035,0.10526315789473684,0.14035087719298245,0.15789473684210525,0.19298245614035087,0.19298245614035087,0.0,0.42105263157894735,0.5263157894736842,0.03508771929824561,0.24561403508771928,0.14035087719298245,0.3508771929824561,0.12280701754385964,0.05263157894736842,0.22807017543859648,0.08771929824561403,0.05263157894736842,0.15789473684210525,0.0
"Recreation, Parks, and Tourism Administration",0.8,0.08695652173913043,0.22608695652173913,0.8260869565217391,0.5391304347826087,0.10434782608695652,0.02608695652173913,0.09565217391304348,0.17391304347826086,0.09565217391304348,1.1304347826086956,0.11304347826086956,0.4,0.043478260869565216,0.5826086956521739,0.11304347826086956,0.3217391304347826,0.05217391304347826,0.2,0.008695652173913044
Sociology,2.0454545454545454,0.045454545454545456,0.4393939393939394,0.5,0.5757575757575758,0.0,0.015151515151515152,0.13636363636363635,0.24242424242424243,0.07575757575757576,0.3181818181818182,0.09090909090909091,0.3333333333333333,0.06060606060606061,0.12121212121212122,0.13636363636363635,0.21212121212121213,0.015151515151515152,0.13636363636363635,0.015151515151515152
Software Engineering,0.032467532467532464,1.396103896103896,0.5194805194805194,0.44155844155844154,0.3116883116883117,0.045454545454545456,0.045454545454545456,0.3246753246753247,0.05194805194805195,0.35064935064935066,0.2987012987012987,0.006493506493506494,0.38311688311688313,0.18181818181818182,0.24025974025974026,0.18181818181818182,0.05194805194805195,0.14285714285714285,0.07142857142857142,0.11038961038961038
Spanish,1.5833333333333333,0.015151515151515152,0.20454545454545456,0.22727272727272727,0.23484848484848486,0.13636363636363635,0.08333333333333333,0.06060606060606061,0.11363636363636363,0.007575757575757576,0.4696969696969697,0.07575757575757576,0.5151515151515151,0.5984848484848485,0.0,0.21212121212121213,0.3333333333333333,0.0,0.44696969696969696,0.5075757575757576
Statistics,0.02,0.66,0.54,0.52,0.46,0.04,0.04,0.04,0.0,1.08,0.06,0.04,0.6,0.14,0.12,0.02,0.0,0.36,0.08,0.06
Theatre Arts,0.2558139534883721,0.09302325581395349,0.13953488372093023,0.32558139534883723,0.16279069767441862,0.18604651162790697,0.3023255813953488,0.11627906976744186,0.0,0.046511627906976744,0.06976744186046512,0.0,0.3953488372093023,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.3023255813953488,0.023255813953488372
